kode_wilayah,nama_wilayah,tahun,tpt,laju_pertumbuhan,jumlah_usia_produktif,total_penduduk_kelompok_umur,persentase_usia_produktif,kategori_kuadran
3506,Kediri,2020,5.24,0.84,1080462,1581175,68.33285373219283,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3506,Kediri,2021,5.15,0.74,1081912,1587132,68.16773904123916,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3506,Kediri,2022,6.83,0.72,1082701,1592699,67.97900921643073,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3506,Kediri,2023,5.79,0.92,1082689,1597867,67.75839290754487,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3506,Kediri,2024,5.1,0.88,1081930,1602621,67.51003512371297,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3506,Kediri,2025,4.71,0.85,1080110,1606941,67.21528668445201,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3507,Malang,2018,3.15,0.72,1808320,2592147,69.76147571877675,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3507,Malang,2019,3.7,0.7,1815726,2607914,69.62369157878673,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3507,Malang,2020,5.49,0.79,1822089,2622886,69.46885987419964,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3507,Malang,2021,5.4,0.7,1827451,2637160,69.29617467275402,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3507,Malang,2022,6.57,0.68,1831738,2650825,69.10067620457781,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3507,Malang,2023,5.7,0.83,1834688,2663862,68.87323742746435,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3507,Malang,2024,5.13,0.81,1836417,2676243,68.61921731322605,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3507,Malang,2025,5.0,0.79,1836414,2687933,68.32067614780577,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3508,Lumajang,2018,2.46,0.4,734834,1039424,70.69627024198017,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3508,Lumajang,2019,2.73,0.39,735806,1042442,70.58483829316164,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3508,Lumajang,2020,3.36,1.03,736309,1045115,70.45243824842242,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3508,Lumajang,2021,3.51,0.94,736359,1047482,70.29800989420343,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
