kode_wilayah,kepadatan,semester,tahun
3516,1165.0,2,2023
3516,1170.9,1,2024
3516,1170.9,2,2024
3516,1170.9,1,2025
3516,0.0,2,2025
3517,1170.8,1,2018
3517,1188.35,2,2018
3517,1201.22,1,2019
3517,1204.58,2,2019
3517,1209.41,1,2020
3517,1210.76,2,2020
3517,1211.0977589253,1,2021
3517,1211.9380498435,2,2021
3517,1219.0,1,2022
3517,1224.8,2,2022
3517,1229.7,1,2023
3517,1235.0,2,2023
3517,1238.54,1,2024
3517,1238.54,2,2024
3517,1238.54,1,2025
3517,0.0,2,2025
3518,905.96,1,2018
3518,908.43,2,2018
3518,914.44,1,2019
3518,917.67,2,2019
3518,921.35,1,2020
3518,922.14,2,2020
3518,925.9187257505,1,2021
3518,926.2070655503,2,2021
3518,880.0,1,2022
3518,880.54,2,2022
3518,884.06,1,2023
3518,888.0,2,2023
3518,891.04,1,2024
3518,891.04,2,2024
3518,891.04,1,2025
3518,0.0,2,2025
3519,713.6,1,2018
3519,713.98,2,2018
3519,718.97,1,2019
3519,721.94,2,2019
3519,724.82,1,2020
3519,726.85,2,2020
3519,726.9444283814,1,2021
3519,727.1304381349,2,2021
3519,678.0,1,2022
3519,678.62,2,2022
3519,681.12,1,2023
3519,671.0,2,2023
3519,663.8,1,2024
3519,663.8,2,2024
3519,663.8,1,2025
3519,0.0,2,2025
3520,1003.75,1,2018
3520,1004.5,2,2018
3520,1010.95,1,2019
3520,1014.86,2,2019
3520,1018.91,1,2020
3520,1000.54,2,2020
3520,1000.767957726,1,2021
3520,1001.0176528657,2,2021
3520,977.0,1,2022
3520,977.08,2,2022
3520,979.02,1,2023
3520,980.0,2,2023
3520,979.98,1,2024
3520,979.98,2,2024
3520,979.98,1,2025
3520,0.0,2,2025
3521,698.71,1,2018
3521,699.8,2,2018
3521,702.2,1,2019
3521,704.91,2,2019
3521,707.21,1,2020
3521,706.82,2,2020
3521,691.961295699,1,2021
3521,692.111760984,2,2021
3521,643.0,1,2022
3521,643.6,2,2022
3521,645.97,1,2023
3521,648.0,2,2023
3521,648.85,1,2024
3521,648.85,2,2024
3521,648.85,1,2025
3521,0.0,2,2025
3522,602.49,1,2018
3522,602.94,2,2018
3522,605.41,1,2019
3522,607.53,2,2019
3522,609.96,1,2020
3522,611.09,2,2020
3522,611.1975222736,1,2021
3522,610.5330659135,2,2021
3522,581.0,1,2022
3522,583.79,2,2022
3522,586.37,1,2023
3522,589.0,2,2023
3522,590.28,1,2024
3522,590.28,2,2024
3522,590.28,1,2025
3522,0.0,2,2025
3523,652.54,1,2018
3523,653.56,2,2018
3523,659.66,1,2019
3523,660.5,2,2019
3523,663.14,1,2020
3523,664.95,2,2020
3523,666.9340021263,1,2021
3523,667.0217812066,2,2021
3523,621.0,1,2022
3523,630.86,2,2022
3523,633.2,1,2023
3523,638.0,2,2023
3523,639.32,1,2024
3523,639.32,2,2024
3523,639.32,1,2025
3523,0.0,2,2025
3524,763.34,1,2018
3524,763.9,2,2018
3524,768.27,1,2019
3524,770.68,2,2019
3524,772.79,1,2020
3524,774.18,2,2020
3524,774.2380965742,1,2021
3524,774.4704132881,2,2021
3524,788.0,1,2022
3524,788.33,2,2022
3524,789.19,1,2023
3524,791.0,2,2023
3524,779.03,1,2024
3524,779.03,2,2024
3524,779.03,1,2025
3524,0.0,2,2025
3525,1061.41,1,2018
3525,1062.13,2,2018
3525,1067.63,1,2019
3525,1070.36,2,2019
3525,1074.65,1,2020
3525,1077.71,2,2020
3525,1077.8266526758,1,2021
3525,1077.9920251836,2,2021
3525,1025.0,1,2022
3525,1030.59,2,2022
3525,1032.1,1,2023
3525,1038.0,2,2023
3525,1042.03,1,2024
3525,1042.03,2,2024
3525,1042.03,1,2025
3525,0.0,2,2025
3526,1065.59,1,2018
3526,1065.36,2,2018
3526,1071.21,1,2019
3526,1074.79,2,2019
3526,1078.05,1,2020
3526,1081.1,2,2020
3526,1081.2020690206,1,2021
3526,1081.6344463972,2,2021
3526,833.0,1,2022
3526,798.82,2,2022
3526,801.57,1,2023
3526,805.0,2,2023
3526,787.52,1,2024
3526,787.52,2,2024
3526,787.52,1,2025
3526,0.0,2,2025
3527,692.5,1,2018
3527,692.96,2,2018
3527,695.92,1,2019
3527,697.97,2,2019
3527,700.78,1,2020
3527,715.48,2,2020
3527,731.9184481137,1,2021
3527,752.2885781944,2,2021
3527,774.0,1,2022
3527,792.15,2,2022
3527,799.09,1,2023
3527,805.0,2,2023
3527,820.09,1,2024
3527,820.09,2,2024
3527,820.09,1,2025
3527,0.0,2,2025
