kode_wilayah,ipm,tahun
3574,78.5,2025
3575,79.52,2025
3576,82.35,2025
3577,85.12,2025
3578,85.65,2025
3579,80.35,2025
3501,66.51,2017
3501,67.33,2018
3501,68.16,2019
3501,68.39,2020
3501,69.45,2021
3501,70.59,2022
3501,70.84,2023
3501,71.49,2024
3501,71.9,2025
3502,69.26,2017
3502,69.91,2018
3502,70.56,2019
3502,70.81,2020
3502,70.93,2021
3502,71.71,2022
3502,71.98,2023
3502,72.4,2024
3502,72.8,2025
