kode_wilayah,nama_wilayah,tipe_wilayah,jumlah_penduduk,laju_pertumbuhan,persentase_penduduk,kepadatan_bps,rasio_jenis_kelamin,tahun,jumlah_penduduk_miskin,tpt,ipm,kepadatan_sipil_smt1,kepadatan_sipil_smt2,kepadatan_sipil_tahunan
3506,Kediri,Kabupaten,1677.2,0.92,4.04,1101.0,101.9,2023,171.18,5.79,74.68,1102.05,1106.0,1104.025
3506,Kediri,Kabupaten,1689.9,0.88,4.04,1109.0,101.9,2024,159.27,5.1,75.18,1108.24,1108.24,1108.24
3506,Kediri,Kabupaten,1702262.0,0.85,4.04,1117.0,101.8,2025,157.47,4.71,76.09,1108.24,0.0,1108.24
3507,Malang,Kabupaten,2592.0,0.72,1.96,734.0,101.1,2018,268.49,3.15,69.4,701.08,705.85,703.465
3507,Malang,Kabupaten,2606.0,0.7,6.56,738.0,101.1,2019,246.6,3.7,70.35,720.12,722.19,721.155
3507,Malang,Kabupaten,2654.4,0.79,6.53,752.0,101.6,2020,265.56,5.49,71.24,725.47,732.28,728.875
3507,Malang,Kabupaten,2668.3,0.7,6.53,756.0,101.6,2021,276.58,5.4,71.48,739.7807769108,746.5905711413,743.18567402605
3507,Malang,Kabupaten,2685.9,0.68,6.53,773.0,101.5,2022,252.88,6.57,72.23,766.0,774.0,770.0
3507,Malang,Kabupaten,2715.6,0.83,6.54,782.0,101.2,2023,251.36,5.7,73.0,775.1,781.0,778.05
3507,Malang,Kabupaten,2736.0,0.81,6.54,788.0,101.1,2024,240.14,5.13,73.53,785.21,785.21,785.21
3507,Malang,Kabupaten,2755438.0,0.79,6.55,793.0,100.9,2025,235.63,5.0,74.45,785.21,0.0,785.21
3508,Lumajang,Kabupaten,1040.0,0.4,1.55,581.0,95.5,2018,103.69,2.46,64.83,627.01,628.04,627.525
3508,Lumajang,Kabupaten,1042.0,0.39,2.63,582.0,95.4,2019,98.88,2.73,65.33,629.53,630.28,629.905
3508,Lumajang,Kabupaten,1119.3,1.03,2.75,625.0,97.9,2020,102.6,3.36,67.04,632.17,624.06,628.115
3508,Lumajang,Kabupaten,1127.1,0.94,2.76,629.0,97.8,2021,105.25,3.51,67.65,609.6688815679,610.1563459713,609.9126137696001
3508,Lumajang,Kabupaten,1137.2,0.91,2.76,633.0,97.8,2022,95.04,4.97,68.48,609.0,610.71,609.855
3508,Lumajang,Kabupaten,1139.1,0.64,2.74,634.0,97.8,2023,93.82,3.67,69.37,613.16,617.0,615.0799999999999
3508,Lumajang,Kabupaten,1145.9,0.63,2.74,638.0,97.8,2024,91.05,3.28,70.31,619.32,619.32,619.32
3508,Lumajang,Kabupaten,1152264.0,0.61,2.74,641.0,97.7,2025,90.64,3.08,71.02,619.32,0.0,619.32
3509,Jember,Kabupaten,2441.0,0.56,2.11,789.0,96.7,2018,243.42,4.01,65.96,826.69,826.76,826.725
3509,Jember,Kabupaten,2451.0,0.54,6.17,792.0,96.7,2019,226.57,3.69,66.69,828.99,830.72,829.855
3509,Jember,Kabupaten,2536.7,0.81,6.24,820.0,99.5,2020,247.99,5.12,69.01,832.5,833.98,833.24
3509,Jember,Kabupaten,2550.4,0.72,6.24,825.0,99.4,2021,257.09,5.44,69.2,834.8001836797,835.1840353907,834.9921095352
3509,Jember,Kabupaten,2567.7,0.7,6.24,775.0,99.4,2022,232.73,4.06,69.8,780.0,780.24,780.12
3509,Jember,Kabupaten,2586.8,0.71,6.23,781.0,99.3,2023,236.46,4.01,70.42,781.75,785.0,783.375
3509,Jember,Kabupaten,2603.8,0.7,6.23,786.0,99.3,2024,224.77,3.23,70.93,786.47,786.47,786.47
3509,Jember,Kabupaten,2620135.0,0.68,6.23,791.0,99.2,2025,216.76,3.07,71.57,786.47,0.0,786.47
3510,Banyuwangi,Kabupaten,1610.0,0.42,0.74,278.0,99.1,2018,125.5,3.59,70.06,299.65,299.71,299.67999999999995
3510,Banyuwangi,Kabupaten,1614.0,0.4,4.07,279.0,99.1,2019,121.37,3.95,70.6,301.89,302.24,302.065
3510,Banyuwangi,Kabupaten,1708.1,0.91,4.2,295.0,100.3,2020,130.37,5.34,71.85,302.8,303.46,303.13
3510,Banyuwangi,Kabupaten,1718.5,0.81,4.2,297.0,100.2,2021,130.93,5.42,72.62,302.6032443276,302.7770475927,302.69014596015
3510,Banyuwangi,Kabupaten,1731.7,0.79,4.21,482.0,100.2,2022,122.01,5.26,73.15,488.0,490.44,489.22
3510,Banyuwangi,Kabupaten,1743.9,0.76,4.2,485.0,100.1,2023,119.52,4.75,73.79,492.43,495.0,493.71500000000003
3510,Banyuwangi,Kabupaten,1754.4,0.72,4.2,488.0,100.0,2024,106.61,4.03,74.3,496.9,496.9,496.9
3510,Banyuwangi,Kabupaten,1764540.0,0.69,4.19,491.0,99.8,2025,100.13,3.94,75.17,496.9,0.0,496.9
3511,Bondowoso,Kabupaten,772.0,0.58,1.35,506.0,94.9,2018,110.98,3.84,65.27,518.72,519.85,519.2850000000001
3511,Bondowoso,Kabupaten,776.0,0.57,1.95,508.0,94.9,2019,103.33,2.86,66.09,521.73,522.68,522.2049999999999
3511,Bondowoso,Kabupaten,776.2,0.51,1.91,509.0,97.0,2020,110.24,4.13,69.1,524.25,429.86,477.055
3511,Bondowoso,Kabupaten,778.5,0.41,1.9,510.0,97.0,2021,115.18,4.46,69.24,525.2665517671,525.6341867796,525.45036927335
3511,Bondowoso,Kabupaten,781.4,0.39,1.9,503.0,97.0,2022,105.69,4.32,69.91,516.0,516.31,516.155
3511,Bondowoso,Kabupaten,788.2,0.56,1.9,507.0,97.2,2023,105.13,4.15,70.56,518.28,512.0,515.14
3511,Bondowoso,Kabupaten,792.3,0.55,1.89,510.0,97.3,2024,99.62,3.63,71.22,504.54,504.54,504.54
3511,Bondowoso,Kabupaten,796300.0,0.54,1.89,512.0,97.3,2025,96.71,2.55,71.72,504.54,0.0,504.54
3512,Situbondo,Kabupaten,680.0,0.61,1.09,407.0,95.3,2018,80.27,1.85,66.42,411.15,411.36,411.255
3512,Situbondo,Kabupaten,683.0,0.59,1.72,409.0,95.3,2019,76.44,2.77,67.09,413.14,414.18,413.65999999999997
3512,Situbondo,Kabupaten,686.0,0.56,1.69,411.0,96.4,2020,83.74,3.85,68.94,415.11,415.74,415.425
3512,Situbondo,Kabupaten,688.3,0.46,1.68,412.0,96.4,2021,86.95,3.68,69.34,398.9801601322,399.2041296628,399.0921448975
3512,Situbondo,Kabupaten,691.3,0.44,1.68,418.0,96.4,2022,81.46,3.38,69.76,403.0,407.06,405.03
3512,Situbondo,Kabupaten,697.0,0.58,1.68,421.0,96.6,2023,82.62,3.27,70.65,410.27,414.0,412.135
3512,Situbondo,Kabupaten,700.7,0.57,1.68,424.0,96.6,2024,80.17,3.15,71.22,416.35,416.35,416.35
3512,Situbondo,Kabupaten,704243.0,0.56,1.67,426.0,96.6,2025,78.02,3.02,71.87,416.35,0.0,416.35
3513,Probolinggo,Kabupaten,1162.0,0.72,1.83,685.0,95.3,2018,217.06,4.0,64.85,659.89,663.24,661.565
3513,Probolinggo,Kabupaten,1169.0,0.71,2.94,689.0,95.3,2019,207.22,3.77,65.6,669.97,671.1,670.5350000000001
3513,Probolinggo,Kabupaten,1152.5,0.49,2.83,679.0,97.4,2020,218.35,4.86,68.77,673.8,675.7,674.75
3513,Probolinggo,Kabupaten,1155.9,0.39,2.83,681.0,97.4,2021,223.32,4.55,68.94,681.8554306365,682.3494732374,682.10245193695
3513,Probolinggo,Kabupaten,1160.0,0.37,2.82,673.0,97.3,2022,203.23,3.25,69.56,672.0,677.01,674.505
3513,Probolinggo,Kabupaten,1176.9,0.77,2.83,682.0,97.5,2023,205.02,3.24,70.36,679.72,684.0,681.86
3513,Probolinggo,Kabupaten,1185.2,0.75,2.83,687.0,97.4,2024,197.11,3.0,70.85,690.31,690.31,690.31
3513,Probolinggo,Kabupaten,1193272.0,0.73,2.84,692.0,97.4,2025,196.26,2.92,71.65,690.31,0.0,690.31
3514,Pasuruan,Kabupaten,1617.0,0.83,2.93,1097.0,98.2,2018,152.48,5.94,67.41,1074.71,1075.24,1074.975
3514,Pasuruan,Kabupaten,1627.0,0.81,4.1,1104.0,98.2,2019,141.09,5.22,68.29,1078.64,1080.09,1079.365
3514,Pasuruan,Kabupaten,1606.0,0.58,3.95,1090.0,100.2,2020,151.43,6.24,70.2,1084.46,1087.88,1086.17
3514,Pasuruan,Kabupaten,1611.8,0.48,3.94,1093.0,100.1,2021,159.78,6.03,70.54,1088.013731157,1088.884139971,1088.4489355639998
3514,Pasuruan,Kabupaten,1619.0,0.46,3.93,1084.0,100.1,2022,148.62,5.91,71.29,1077.0,1083.48,1080.24
