kode_wilayah,jumlah_penduduk_miskin,tahun
3514,138.43,2025
3515,107.57,2025
3516,102.67,2025
3517,107.82,2025
3518,107.3,2025
3519,71.59,2025
3520,58.38,2025
3521,114.9,2025
3522,144.9,2025
3523,168.86,2025
3524,145.45,2025
3525,138.55,2025
3526,187.9,2025
3527,213.98,2025
3528,118.52,2025
3529,188.48,2025
3571,17.93,2025
3572,9.69,2025
3573,34.41,2025
3574,14.11,2025
3575,12.83,2025
3576,6.77,2025
3577,6.96,2025
3578,105.09,2025
3579,6.22,2025
