Kabupaten_Kota,TPT,Tahun
Kabupaten Nganjuk,4.98,2021
Kabupaten Madiun,4.99,2021
Kabupaten Magetan,3.86,2021
Kabupaten Ngawi,4.25,2021
Kabupaten Bojonegoro,4.82,2021
Kabupaten Tuban,4.68,2021
Kabupaten Lamongan,4.9,2021
Kabupaten Gresik,8.0,2021
Kabupaten Bangkalan,8.07,2021
Kabupaten Sampang,3.45,2021
Kabupaten Pamekasan,3.1,2021
Kabupaten Sumenep,2.31,2021
Kota Kediri,6.37,2021
Kota Blitar,6.61,2021
Kota Malang,9.65,2021
Kota Probolinggo,6.55,2021
Kota Pasuruan,6.23,2021
Kota Mojokerto,6.87,2021
Kota Madiun,8.15,2021
Kota Surabaya,9.68,2021
Kota Batu,6.57,2021
Jawa Timur,5.74,2021
Kabupaten Pacitan,3.65,2022
Kabupaten Ponorogo,5.51,2022
Kabupaten Trenggalek,5.37,2022
Kabupaten Tulungagung,6.65,2022
Kabupaten Blitar,5.45,2022
Kabupaten Kediri,6.83,2022
Kabupaten Malang,6.57,2022
Kabupaten Lumajang,4.97,2022
Kabupaten Jember,4.06,2022
Kabupaten Banyuwangi,5.26,2022
Kabupaten Bondowoso,4.32,2022
Kabupaten Situbondo,3.38,2022
Kabupaten Probolinggo,3.25,2022
Kabupaten Pasuruan,5.91,2022
Kabupaten Sidoarjo,8.8,2022
Kabupaten Mojokerto,4.83,2022
Kabupaten Jombang,5.47,2022
Kabupaten Nganjuk,4.74,2022
Kabupaten Madiun,5.84,2022
Kabupaten Magetan,4.33,2022
Kabupaten Ngawi,2.48,2022
Kabupaten Bojonegoro,4.69,2022
Kabupaten Tuban,4.54,2022
Kabupaten Lamongan,6.05,2022
Kabupaten Gresik,7.84,2022
Kabupaten Bangkalan,8.05,2022
Kabupaten Sampang,3.11,2022
Kabupaten Pamekasan,1.4,2022
Kabupaten Sumenep,1.36,2022
Kota Kediri,4.38,2022
Kota Blitar,5.39,2022
Kota Malang,7.66,2022
Kota Probolinggo,4.57,2022
Kota Pasuruan,6.18,2022
Kota Mojokerto,5.05,2022
Kota Madiun,6.39,2022
Kota Surabaya,7.62,2022
Kota Batu,8.43,2022
Jawa Timur,5.49,2022
Kabupaten Pacitan,1.83,2023
Kabupaten Ponorogo,4.66,2023
Kabupaten Trenggalek,4.52,2023
Kabupaten Tulungagung,5.65,2023
Kabupaten Blitar,4.91,2023
Kabupaten Kediri,5.79,2023
Kabupaten Malang,5.7,2023
Kabupaten Lumajang,3.67,2023
Kabupaten Jember,4.01,2023
Kabupaten Banyuwangi,4.75,2023
Kabupaten Bondowoso,4.15,2023
Kabupaten Situbondo,3.27,2023
Kabupaten Probolinggo,3.24,2023
Kabupaten Pasuruan,5.48,2023
Kabupaten Sidoarjo,8.05,2023
Kabupaten Mojokerto,4.67,2023
Kabupaten Jombang,4.66,2023
Kabupaten Nganjuk,4.68,2023
Kabupaten Madiun,5.14,2023
Kabupaten Magetan,4.16,2023
Kabupaten Ngawi,2.41,2023
Kabupaten Bojonegoro,4.63,2023
Kabupaten Tuban,4.4,2023
Kabupaten Lamongan,5.46,2023
Kabupaten Gresik,6.82,2023
Kabupaten Bangkalan,6.18,2023
Kabupaten Sampang,2.72,2023
Kabupaten Pamekasan,1.74,2023
Kabupaten Sumenep,1.71,2023
Kota Kediri,4.06,2023
Kota Blitar,5.24,2023
Kota Malang,6.8,2023
Kota Probolinggo,4.53,2023
Kota Pasuruan,5.64,2023
Kota Mojokerto,4.73,2023
Kota Madiun,5.85,2023
Kota Surabaya,6.76,2023
Kota Batu,4.52,2023
Jawa Timur,4.88,2023
Kabupaten Pacitan,1.56,2024
Kabupaten Ponorogo,4.19,2024
Kabupaten Trenggalek,3.9,2024
Kabupaten Tulungagung,4.12,2024
Kabupaten Blitar,4.77,2024
Kabupaten Kediri,5.1,2024
Kabupaten Malang,5.13,2024
Kabupaten Lumajang,3.28,2024
Kabupaten Jember,3.23,2024
Kabupaten Banyuwangi,4.03,2024
Kabupaten Bondowoso,3.63,2024
Kabupaten Situbondo,3.15,2024
Kabupaten Probolinggo,3.0,2024
Kabupaten Pasuruan,5.02,2024
Kabupaten Sidoarjo,6.49,2024
Kabupaten Mojokerto,3.87,2024
Kabupaten Jombang,3.75,2024
Kabupaten Nganjuk,3.87,2024
Kabupaten Madiun,4.34,2024
Kabupaten Magetan,3.28,2024
Kabupaten Ngawi,2.4,2024
Kabupaten Bojonegoro,4.42,2024
Kabupaten Tuban,4.28,2024
Kabupaten Lamongan,4.34,2024
Kabupaten Gresik,6.45,2024
Kabupaten Bangkalan,5.35,2024
Kabupaten Sampang,2.5,2024
Kabupaten Pamekasan,1.64,2024
Kabupaten Sumenep,1.69,2024
Kota Kediri,3.91,2024
Kota Blitar,5.11,2024
Kota Malang,6.1,2024
Kota Probolinggo,4.44,2024
Kota Pasuruan,4.63,2024
Kota Mojokerto,3.76,2024
Kota Madiun,4.3,2024
Kota Surabaya,4.91,2024
