Kabupaten_Kota,Jumlah_Penduduk_Miskin,Tahun
Kota Madiun,8.49,2022
Kota Surabaya,138.21,2022
Kota Batu,8.05,2022
Jawa Timur,4181.29,2022
Pacitan,76.2,2023
Ponorogo,83.71,2023
Trenggalek,74.58,2023
Tulungagung,68.81,2023
Blitar,101.94,2023
Kediri,171.18,2023
Malang,251.36,2023
Lumajang,93.82,2023
Jember,236.46,2023
Banyuwangi,119.52,2023
Bondowoso,105.13,2023
Situbondo,82.62,2023
Probolinggo,205.02,2023
Pasuruan,154.09,2023
Sidoarjo,119.15,2023
Mojokerto,112.86,2023
Jombang,117.36,2023
Nganjuk,115.86,2023
Madiun,75.87,2023
Magetan,62.49,2023
Ngawi,121.3,2023
Bojonegoro,153.25,2023
Tuban,177.25,2023
Lamongan,149.94,2023
Gresik,149.75,2023
Bangkalan,196.66,2023
Sampang,221.71,2023
Pamekasan,126.43,2023
Sumenep,206.1,2023
Kota Kediri,21.03,2023
Kota Blitar,10.61,2023
Kota Malang,37.78,2023
Kota Probolinggo,15.86,2023
Kota Pasuruan,13.56,2023
Kota Mojokerto,7.65,2023
Kota Madiun,8.46,2023
Kota Surabaya,136.37,2023
Kota Batu,7.1,2023
Jawa Timur,4188.81,2023
Pacitan,73.03,2024
Ponorogo,80.05,2024
Trenggalek,73.75,2024
Tulungagung,66.42,2024
Blitar,95.91,2024
Kediri,159.27,2024
Malang,240.14,2024
Lumajang,91.05,2024
Jember,224.77,2024
Banyuwangi,106.61,2024
Bondowoso,99.62,2024
Situbondo,80.17,2024
Probolinggo,197.11,2024
Pasuruan,144.84,2024
Sidoarjo,109.39,2024
Mojokerto,108.72,2024
Jombang,110.57,2024
Nganjuk,108.37,2024
Madiun,73.15,2024
Magetan,59.51,2024
Ngawi,116.47,2024
Bojonegoro,147.33,2024
Tuban,171.24,2024
Lamongan,146.98,2024
Gresik,142.39,2024
Bangkalan,190.94,2024
Sampang,214.32,2024
Pamekasan,123.46,2024
Sumenep,196.42,2024
Kota Kediri,19.24,2024
Kota Blitar,9.86,2024
Kota Malang,34.84,2024
Kota Probolinggo,15.24,2024
Kota Pasuruan,13.07,2024
Kota Mojokerto,7.43,2024
Kota Madiun,7.84,2024
Kota Surabaya,116.62,2024
Kota Batu,6.59,2024
Jawa Timur,3982.69,2024
Pacitan,72.47,2025
Ponorogo,77.93,2025
Trenggalek,72.35,2025
Tulungagung,63.17,2025
Blitar,89.04,2025
Kediri,157.47,2025
Malang,235.63,2025
Lumajang,90.64,2025
Jember,216.76,2025
Banyuwangi,100.13,2025
Bondowoso,96.71,2025
Situbondo,78.02,2025
Probolinggo,196.26,2025
Pasuruan,138.43,2025
Sidoarjo,107.57,2025
Mojokerto,102.67,2025
Jombang,107.82,2025
Nganjuk,107.3,2025
Madiun,71.59,2025
Magetan,58.38,2025
Ngawi,114.9,2025
Bojonegoro,144.9,2025
Tuban,168.86,2025
Lamongan,145.45,2025
Gresik,138.55,2025
Bangkalan,187.9,2025
Sampang,213.98,2025
Pamekasan,118.52,2025
Sumenep,188.48,2025
Kota Kediri,17.93,2025
Kota Blitar,9.69,2025
Kota Malang,34.41,2025
Kota Probolinggo,14.11,2025
Kota Pasuruan,12.83,2025
Kota Mojokerto,6.77,2025
Kota Madiun,6.96,2025
Kota Surabaya,105.09,2025
Kota Batu,6.22,2025
Jawa Timur,3875.88,2025
