Kabupaten_Kota,IPM,Tahun
Situbondo,70.65,2023
Probolinggo,70.36,2023
Pasuruan,71.91,2023
Sidoarjo,81.88,2023
Mojokerto,76.23,2023
Jombang,75.16,2023
Nganjuk,74.7,2023
Madiun,74.02,2023
Magetan,76.3,2023
Ngawi,73.28,2023
Bojonegoro,71.8,2023
Tuban,71.4,2023
Lamongan,75.29,2023
Gresik,78.44,2023
Bangkalan,66.82,2023
Sampang,66.19,2023
Pamekasan,70.32,2023
Sumenep,69.13,2023
Kota Kediri,80.97,2023
Kota Blitar,80.78,2023
Kota Malang,84.0,2023
Kota Probolinggo,76.93,2023
Kota Pasuruan,78.3,2023
Kota Mojokerto,80.9,2023
Kota Madiun,83.71,2023
Kota Surabaya,83.99,2023
Kota Batu,79.07,2023
Jawa Timur,74.65,2023
Trenggalek,72.47,2024
Tulungagung,75.13,2024
Blitar,73.44,2024
Kediri,75.18,2024
Malang,73.53,2024
Lumajang,70.31,2024
Jember,70.93,2024
Banyuwangi,74.3,2024
Bondowoso,71.22,2024
Situbondo,71.22,2024
Probolinggo,70.85,2024
Pasuruan,72.36,2024
Sidoarjo,82.67,2024
Mojokerto,76.69,2024
Jombang,75.67,2024
Nganjuk,75.24,2024
Madiun,74.81,2024
Magetan,76.77,2024
Ngawi,73.91,2024
Bojonegoro,72.75,2024
Tuban,72.31,2024
Lamongan,75.9,2024
Gresik,78.93,2024
Bangkalan,67.33,2024
Sampang,66.72,2024
Pamekasan,70.85,2024
Sumenep,69.78,2024
Kota Kediri,81.88,2024
Kota Blitar,81.44,2024
Kota Malang,84.68,2024
Kota Probolinggo,77.79,2024
Kota Pasuruan,78.9,2024
Kota Mojokerto,81.76,2024
Kota Madiun,84.51,2024
Kota Surabaya,84.69,2024
Kota Batu,79.69,2024
Jawa Timur,75.35,2024
Trenggalek,73.39,2025
Tulungagung,75.88,2025
Blitar,74.43,2025
Kediri,76.09,2025
Malang,74.45,2025
Lumajang,71.02,2025
Jember,71.57,2025
Banyuwangi,75.17,2025
Bondowoso,71.72,2025
Situbondo,71.87,2025
Probolinggo,71.65,2025
Pasuruan,73.02,2025
Sidoarjo,83.35,2025
Mojokerto,77.46,2025
Jombang,76.37,2025
Nganjuk,75.89,2025
Madiun,75.47,2025
Magetan,77.58,2025
Ngawi,74.43,2025
Bojonegoro,73.74,2025
Tuban,73.15,2025
Lamongan,76.81,2025
Gresik,79.69,2025
Bangkalan,68.15,2025
Sampang,67.23,2025
Pamekasan,71.64,2025
Sumenep,70.54,2025
Kota Kediri,82.71,2025
Kota Blitar,82.03,2025
Kota Malang,85.55,2025
Kota Probolinggo,78.5,2025
Kota Pasuruan,79.52,2025
Kota Mojokerto,82.35,2025
Kota Madiun,85.12,2025
Kota Surabaya,85.65,2025
Kota Batu,80.35,2025
Jawa Timur,76.13,2025
