Kabupaten/Kota,Per Capita Gross Regional Domestic Product at Current Market Prices (Thousand Rp)
Pacitan,27932
Ponorogo,22432
Trenggalek,26160
Tulungagung,36688
Blitar,30683
Kediri,25867
Malang,40057
Lumajang,29939
Jember,31781
Banyuwangi,49896
Bondowoso,27009
Situbondo,30765
Probolinggo,30708
Pasuruan,97171
Sidoarjo,100252
Mojokerto,77340
Jombang,31449
Nganjuk,25280
Madiun,26802
Magetan,29081
Ngawi,23838
Bojonegoro,64424
Tuban,54739
Lamongan,30373
Gresik,109418
Bangkalan,23148
Sampang,21064
Pamekasan,20596
Sumenep,31177
Kota Kediri,489294
Kota Blitar,47329
Kota Malang,90160
Kota Probolinggo,48406
Kota Pasuruan,40372
Kota Mojokerto,51962
Kota Madiun,73502
Kota Surabaya,204411
Kota Batu,78331
