Kabupaten/Kota,Per Capita Gross Regional Domestic Product at Current Market Prices (Thousand Rp)
Pacitan,27000
Ponorogo,22021
Trenggalek,24974
Tulungagung,35252
Blitar,29475
Kediri,24608
Malang,37359
Lumajang,29516
Jember,29505
Banyuwangi,48359
Bondowoso,23948
Situbondo,27733
Probolinggo,27547
Pasuruan,84045
Sidoarjo,85373
Mojokerto,69159
Jombang,30097
Nganjuk,23560
Madiun,25882
Magetan,28022
Ngawi,23058
Bojonegoro,58727
Tuban,51990
Lamongan,31309
Gresik,100252
Bangkalan,24361
Sampang,19726
Pamekasan,18259
Sumenep,30135
Kota Kediri,447216
Kota Blitar,44702
Kota Malang,78161
Kota Probolinggo,44732
Kota Pasuruan,38714
Kota Mojokerto,49370
Kota Madiun,74302
Kota Surabaya,186739
Kota Batu,76005
,
Keterangan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2021: Angka sementaraData 2022: Angka sangat sementara,
The difference between the total of GRDP of 34 Provinces and the GDP of Indonesia due to the statistical discrepancies.Data 2021: Preliminary figuresData 2022: Very Preliminary figures,
