Kabupaten/Kota,Per Capita Gross Regional Domestic Product at Current Market Prices (Thousand Rp)
Pacitan,26972
Ponorogo,21654
Trenggalek,25087
Tulungagung,35143
Blitar,29490
Kediri,24885
Malang,38495
Lumajang,28707
Jember,30023
Banyuwangi,47567
Bondowoso,25706
Situbondo,29244
Probolinggo,29280
Pasuruan,90747
Sidoarjo,94818
Mojokerto,73335
Jombang,30303
Nganjuk,24134
Madiun,25811
Magetan,28024
Ngawi,23323
Bojonegoro,54048
Tuban,52085
Lamongan,29221
Gresik,102623
Bangkalan,22038
Sampang,20503
Pamekasan,19779
Sumenep,29166
Kota Kediri,462199
Kota Blitar,45090
Kota Malang,85540
Kota Probolinggo,46302
Kota Pasuruan,38774
Kota Mojokerto,49840
Kota Madiun,69463
Kota Surabaya,193010
Kota Batu,74884
