Kabupaten/Kota,Per Capita Gross Regional Domestic Product at Current Market Prices (Thousand Rp)
Pacitan,30627
Ponorogo,24094
Trenggalek,28309
Tulungagung,40069
Blitar,33285
Kediri,28035
Malang,43581
Lumajang,32384
Jember,34265
Banyuwangi,53822
Bondowoso,29217
Situbondo,33367
Probolinggo,33323
Pasuruan,105850
Sidoarjo,115389
Mojokerto,84307
Jombang,34292
Nganjuk,27583
Madiun,29110
Magetan,31275
Ngawi,25602
Bojonegoro,76507
Tuban,62059
Lamongan,33399
Gresik,122650
Bangkalan,25134
Sampang,23186
Pamekasan,22226
Sumenep,35324
Kota Kediri,522857
Kota Blitar,51593
Kota Malang,98885
Kota Probolinggo,52921
Kota Pasuruan,44303
Kota Mojokerto,56648
Kota Madiun,79817
Kota Surabaya,226080
Kota Batu,85414
