Kabupaten/Kota,Per Capita Gross Regional Domestic Product at Current Market Prices (Thousand Rp)
Pacitan,38215 (**)
Ponorogo,30007 (**)
Trenggalek,35110 (**)
Tulungagung,49485 (**)
Blitar,40200 (**)
Kediri,34496 (**)
Malang,54521 (**)
Lumajang,40349 (**)
Jember,42357 (**)
Banyuwangi,67081 (**)
Bondowoso,35872 (**)
Situbondo,41143 (**)
Probolinggo,41409 (**)
Pasuruan,131055 (**)
Sidoarjo,145529 (**)
Mojokerto,105452 (**)
Jombang,42359 (**)
Nganjuk,34314 (**)
Madiun,36116 (**)
Magetan,38264 (**)
Ngawi,31279 (**)
Bojonegoro,78894 (**)
Tuban,75150 (**)
Lamongan,40469 (**)
Gresik,146668 (**)
Bangkalan,27588 (**)
Sampang,25531 (**)
Pamekasan,27206 (**)
Sumenep,42090 (**)
Kota Kediri,581558 (**)
Kota Blitar,63146 (**)
Kota Malang,122919 (**)
Kota Probolinggo,65483 (**)
Kota Pasuruan,54006 (**)
Kota Mojokerto,66235 (**)
Kota Madiun,98078 (**)
Kota Surabaya,283306 (**)
Kota Batu,105197 (**)
,
Keterangan,
Perbedaan,
antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh,
diskrepansi statistik.,
