kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten PACITAN,0-4,17552,15171,32723
Kabupaten PACITAN,5-9,14485,15732,30217
Kabupaten PACITAN,10-14,16453,16136,32589
Kabupaten PACITAN,15-19,17955,15638,33593
Kabupaten PACITAN,20-24,15620,16041,31661
Kabupaten PACITAN,25-29,14578,15148,29726
Kabupaten PACITAN,30-34,17100,19303,36403
Kabupaten PACITAN,35-39,14751,14345,29096
Kabupaten PACITAN,40-44,19779,19690,39469
Kabupaten PACITAN,45-49,21345,22733,44078
Kabupaten PACITAN,50-54,20604,21254,41858
Kabupaten PACITAN,55-59,20254,22614,42868
Kabupaten PACITAN,60-64,19495,20527,40022
Kabupaten PACITAN,65-69,14998,17979,32977
Kabupaten PACITAN,70-74,14153,13109,27262
Kabupaten PACITAN,75+,13349,20635,33984
Kabupaten PONOROGO,0-4,22395,25491,47886
Kabupaten PONOROGO,5-9,28331,23518,51849
Kabupaten PONOROGO,10-14,27275,23482,50757
Kabupaten PONOROGO,15-19,30316,26982,57298
Kabupaten PONOROGO,20-24,24792,20595,45387
Kabupaten PONOROGO,25-29,25415,25085,50500
Kabupaten PONOROGO,30-34,28246,25282,53528
Kabupaten PONOROGO,35-39,27343,28608,55951
Kabupaten PONOROGO,40-44,31793,29449,61242
Kabupaten PONOROGO,45-49,32494,35093,67587
Kabupaten PONOROGO,50-54,33091,37274,70365
Kabupaten PONOROGO,55-59,33517,32882,66399
Kabupaten PONOROGO,60-64,30970,32832,63802
Kabupaten PONOROGO,65-69,24444,24360,48804
Kabupaten PONOROGO,70-74,19147,19826,38973
Kabupaten PONOROGO,75+,19688,29250,48938
Kabupaten TRENGGALEK,0-4,22059,22413,44472
Kabupaten TRENGGALEK,5-9,20356,19456,39812
Kabupaten TRENGGALEK,10-14,21044,19805,40849
Kabupaten TRENGGALEK,15-19,24001,22871,46872
Kabupaten TRENGGALEK,20-24,21346,21663,43009
Kabupaten TRENGGALEK,25-29,20670,20862,41532
Kabupaten TRENGGALEK,30-34,22275,25364,47639
Kabupaten TRENGGALEK,35-39,22965,20273,43238
Kabupaten TRENGGALEK,40-44,27116,25021,52137
Kabupaten TRENGGALEK,45-49,26126,28469,54595
Kabupaten TRENGGALEK,50-54,26267,26216,52483
Kabupaten TRENGGALEK,55-59,24351,26817,51168
Kabupaten TRENGGALEK,60-64,21253,21935,43188
Kabupaten TRENGGALEK,65-69,19411,19618,39029
Kabupaten TRENGGALEK,70-74,13526,12263,25789
Kabupaten TRENGGALEK,75+,16119,20613,36732
Kabupaten TULUNGAGUNG,0-4,35136,32992,68128
Kabupaten TULUNGAGUNG,5-9,37088,37868,74956
Kabupaten TULUNGAGUNG,10-14,30970,31837,62807
Kabupaten TULUNGAGUNG,15-19,36050,33789,69839
Kabupaten TULUNGAGUNG,20-24,30314,34156,64470
Kabupaten TULUNGAGUNG,25-29,32761,34482,67243
Kabupaten TULUNGAGUNG,30-34,34985,36585,71570
Kabupaten TULUNGAGUNG,35-39,34652,39428,74080
Kabupaten TULUNGAGUNG,40-44,36002,39681,75683
Kabupaten TULUNGAGUNG,45-49,40252,40910,81162
Kabupaten TULUNGAGUNG,50-54,33868,41491,75359
Kabupaten TULUNGAGUNG,55-59,36652,34459,71111
Kabupaten TULUNGAGUNG,60-64,32932,32960,65892
Kabupaten TULUNGAGUNG,65-69,23184,24773,47957
Kabupaten TULUNGAGUNG,70-74,17678,20311,37989
Kabupaten TULUNGAGUNG,75+,22846,26725,49571
Kabupaten BLITAR,0-4,38998,43221,82219
Kabupaten BLITAR,5-9,39903,33948,73851
Kabupaten BLITAR,10-14,38665,34881,73546
Kabupaten BLITAR,15-19,35561,36125,71686
Kabupaten BLITAR,20-24,32677,35371,68048
Kabupaten BLITAR,25-29,38552,33112,71664
Kabupaten BLITAR,30-34,40842,37377,78219
Kabupaten BLITAR,35-39,36205,38325,74530
Kabupaten BLITAR,40-44,41144,42951,84095
Kabupaten BLITAR,45-49,44230,42508,86738
Kabupaten BLITAR,50-54,48187,46574,94761
Kabupaten BLITAR,55-59,35676,40191,75867
Kabupaten BLITAR,60-64,37691,37017,74708
Kabupaten BLITAR,65-69,28313,30625,58938
Kabupaten BLITAR,70-74,24184,21595,45779
Kabupaten BLITAR,75+,27707,33082,60789
Kabupaten KEDIRI,0-4,59159,58193,117352
Kabupaten KEDIRI,5-9,55914,54890,110804
Kabupaten KEDIRI,10-14,56457,49939,106396
Kabupaten KEDIRI,15-19,51098,50319,101417
Kabupaten KEDIRI,20-24,51430,52651,104081
Kabupaten KEDIRI,25-29,58389,51273,109662
Kabupaten KEDIRI,30-34,55115,59922,115037
Kabupaten KEDIRI,35-39,58858,49132,107990
Kabupaten KEDIRI,40-44,57319,63137,120456
Kabupaten KEDIRI,45-49,61124,55485,116609
Kabupaten KEDIRI,50-54,59314,58566,117880
Kabupaten KEDIRI,55-59,45659,50608,96267
Kabupaten KEDIRI,60-64,44493,48038,92531
Kabupaten KEDIRI,65-69,36346,33006,69352
Kabupaten KEDIRI,70-74,21218,29022,50240
Kabupaten KEDIRI,75+,32002,34545,66547
Kabupaten MALANG,0-4,101111,96029,197140
Kabupaten MALANG,5-9,85033,87263,172296
Kabupaten MALANG,10-14,82275,80410,162685
Kabupaten MALANG,15-19,100649,93397,194046
Kabupaten MALANG,20-24,102526,90404,192930
Kabupaten MALANG,25-29,91066,89124,180190
Kabupaten MALANG,30-34,92097,90537,182634
Kabupaten MALANG,35-39,101290,92857,194147
Kabupaten MALANG,40-44,92778,92096,184874
Kabupaten MALANG,45-49,101292,100157,201449
Kabupaten MALANG,50-54,95472,95785,191257
Kabupaten MALANG,55-59,82623,83435,166058
Kabupaten MALANG,60-64,75412,73420,148832
Kabupaten MALANG,65-69,54452,65994,120446
Kabupaten MALANG,70-74,43111,46885,89996
Kabupaten MALANG,75+,43112,54151,97263
Kabupaten LUMAJANG,0-4,33049,34913,67962
Kabupaten LUMAJANG,5-9,36635,33438,70073
Kabupaten LUMAJANG,10-14,33853,30853,64706
