kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten MALANG,45-49,101237,100233,201470
Kabupaten MALANG,50-54,92966,93645,186611
Kabupaten MALANG,55-59,79864,80500,160364
Kabupaten MALANG,60-64,71802,69045,140847
Kabupaten MALANG,65-69,50710,61235,111945
Kabupaten MALANG,70-74,39865,43566,83431
Kabupaten MALANG,75+,38373,50143,88516
Kabupaten LUMAJANG,0-4,33674,35554,69228
Kabupaten LUMAJANG,5-9,36547,33024,69571
Kabupaten LUMAJANG,10-14,34705,31776,66481
Kabupaten LUMAJANG,15-19,36217,37287,73504
Kabupaten LUMAJANG,20-24,33602,34852,68454
Kabupaten LUMAJANG,25-29,34466,36899,71365
Kabupaten LUMAJANG,30-34,35627,38351,73978
Kabupaten LUMAJANG,35-39,36809,38000,74809
Kabupaten LUMAJANG,40-44,39947,42336,82283
Kabupaten LUMAJANG,45-49,36499,39803,76302
Kabupaten LUMAJANG,50-54,37934,37795,75729
Kabupaten LUMAJANG,55-59,35070,40486,75556
Kabupaten LUMAJANG,60-64,29247,34761,64008
Kabupaten LUMAJANG,65-69,24708,21499,46207
Kabupaten LUMAJANG,70-74,16356,16656,33012
Kabupaten LUMAJANG,75+,10934,18162,29096
Kabupaten JEMBER,0-4,85119,84037,169156
Kabupaten JEMBER,5-9,90856,88102,178958
Kabupaten JEMBER,10-14,84522,89876,174398
Kabupaten JEMBER,15-19,91582,86881,178463
Kabupaten JEMBER,20-24,89605,90181,179786
Kabupaten JEMBER,25-29,81529,86320,167849
Kabupaten JEMBER,30-34,86709,91103,177812
Kabupaten JEMBER,35-39,84258,86465,170723
Kabupaten JEMBER,40-44,90501,90174,180675
Kabupaten JEMBER,45-49,85485,88534,174019
Kabupaten JEMBER,50-54,88856,74509,163365
Kabupaten JEMBER,55-59,71527,92188,163715
Kabupaten JEMBER,60-64,70378,64557,134935
Kabupaten JEMBER,65-69,52414,65681,118095
Kabupaten JEMBER,70-74,33026,43456,76482
Kabupaten JEMBER,75+,32375,39671,72046
Kabupaten BANYUWANGI,0-4,55103,58265,113368
Kabupaten BANYUWANGI,5-9,55910,50422,106332
Kabupaten BANYUWANGI,10-14,57526,52914,110440
Kabupaten BANYUWANGI,15-19,53088,53556,106644
Kabupaten BANYUWANGI,20-24,52923,52919,105842
Kabupaten BANYUWANGI,25-29,47839,46244,94083
Kabupaten BANYUWANGI,30-34,53489,59256,112745
Kabupaten BANYUWANGI,35-39,63779,58054,121833
Kabupaten BANYUWANGI,40-44,60074,62741,122815
Kabupaten BANYUWANGI,45-49,61854,59928,121782
Kabupaten BANYUWANGI,50-54,54622,56055,110677
Kabupaten BANYUWANGI,55-59,52269,55741,108010
Kabupaten BANYUWANGI,60-64,45082,46854,91936
Kabupaten BANYUWANGI,65-69,45797,45166,90963
Kabupaten BANYUWANGI,70-74,28102,29603,57705
Kabupaten BANYUWANGI,75+,21388,29501,50889
Kabupaten BONDOWOSO,0-4,26124,24623,50747
Kabupaten BONDOWOSO,5-9,24357,25047,49404
