kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten PACITAN,0-4,17350,14995,32345
Kabupaten PACITAN,5-9,14323,15601,29924
Kabupaten PACITAN,10-14,16372,16054,32426
Kabupaten PACITAN,15-19,17637,15299,32936
Kabupaten PACITAN,20-24,15428,15791,31219
Kabupaten PACITAN,25-29,14367,14917,29284
Kabupaten PACITAN,30-34,16846,19043,35889
Kabupaten PACITAN,35-39,14546,14142,28688
Kabupaten PACITAN,40-44,19586,19477,39063
Kabupaten PACITAN,45-49,21174,22556,43730
Kabupaten PACITAN,50-54,20600,21228,41828
Kabupaten PACITAN,55-59,20501,22842,43343
Kabupaten PACITAN,60-64,19767,20893,40660
Kabupaten PACITAN,65-69,15385,18487,33872
Kabupaten PACITAN,70-74,14611,13539,28150
Kabupaten PACITAN,75+,14009,21310,35319
Kabupaten PONOROGO,0-4,22151,25210,47361
Kabupaten PONOROGO,5-9,28033,23345,51378
Kabupaten PONOROGO,10-14,27159,23375,50534
Kabupaten PONOROGO,15-19,29798,26414,56212
Kabupaten PONOROGO,20-24,24505,20276,44781
Kabupaten PONOROGO,25-29,25062,24719,49781
Kabupaten PONOROGO,30-34,27843,24965,52808
Kabupaten PONOROGO,35-39,26981,28224,55205
Kabupaten PONOROGO,40-44,31505,29143,60648
Kabupaten PONOROGO,45-49,32254,34839,67093
Kabupaten PONOROGO,50-54,33103,37254,70357
Kabupaten PONOROGO,55-59,33944,33229,67173
Kabupaten PONOROGO,60-64,31418,33440,64858
Kabupaten PONOROGO,65-69,25092,25067,50159
Kabupaten PONOROGO,70-74,19779,20489,40268
Kabupaten PONOROGO,75+,20681,30206,50887
Kabupaten TRENGGALEK,0-4,21844,22212,44056
Kabupaten TRENGGALEK,5-9,20165,19349,39514
Kabupaten TRENGGALEK,10-14,20977,19756,40733
Kabupaten TRENGGALEK,15-19,23619,22436,46055
Kabupaten TRENGGALEK,20-24,21123,21377,42500
Kabupaten TRENGGALEK,25-29,20406,20599,41005
Kabupaten TRENGGALEK,30-34,21984,25090,47074
Kabupaten TRENGGALEK,35-39,22687,20041,42728
Kabupaten TRENGGALEK,40-44,26901,24812,51713
Kabupaten TRENGGALEK,45-49,25962,28321,54283
Kabupaten TRENGGALEK,50-54,26309,26253,52562
Kabupaten TRENGGALEK,55-59,24691,27158,51849
Kabupaten TRENGGALEK,60-64,21588,22384,43972
Kabupaten TRENGGALEK,65-69,19947,20228,40175
Kabupaten TRENGGALEK,70-74,13990,12700,26690
Kabupaten TRENGGALEK,75+,16948,21311,38259
Kabupaten TULUNGAGUNG,0-4,34882,32785,67667
Kabupaten TULUNGAGUNG,5-9,36834,37756,74590
Kabupaten TULUNGAGUNG,10-14,30952,31842,62794
Kabupaten TULUNGAGUNG,15-19,35567,33237,68804
Kabupaten TULUNGAGUNG,20-24,30072,33804,63876
Kabupaten TULUNGAGUNG,25-29,32426,34140,66566
Kabupaten TULUNGAGUNG,30-34,34613,36294,70907
Kabupaten TULUNGAGUNG,35-39,34319,39083,73402
Kabupaten TULUNGAGUNG,40-44,35807,39458,75265
Kabupaten TULUNGAGUNG,45-49,40102,40808,80910
Kabupaten TULUNGAGUNG,50-54,34006,41663,75669
Kabupaten TULUNGAGUNG,55-59,37259,34987,72246
Kabupaten TULUNGAGUNG,60-64,33534,33731,67265
Kabupaten TULUNGAGUNG,65-69,23884,25612,49496
Kabupaten TULUNGAGUNG,70-74,18329,21091,39420
Kabupaten TULUNGAGUNG,75+,24084,27689,51773
Kabupaten BLITAR,0-4,38654,42868,81522
Kabupaten BLITAR,5-9,39563,33801,73364
Kabupaten BLITAR,10-14,38576,34827,73403
Kabupaten BLITAR,15-19,35023,35478,70501
Kabupaten BLITAR,20-24,32364,34941,67305
Kabupaten BLITAR,25-29,38095,32721,70816
Kabupaten BLITAR,30-34,40342,37016,77358
Kabupaten BLITAR,35-39,35794,37924,73718
Kabupaten BLITAR,40-44,40853,42632,83485
Kabupaten BLITAR,45-49,43992,42325,86317
Kabupaten BLITAR,50-54,48304,46680,94984
Kabupaten BLITAR,55-59,36205,40739,76944
Kabupaten BLITAR,60-64,38316,37814,76130
Kabupaten BLITAR,65-69,29121,31602,60723
Kabupaten BLITAR,70-74,25035,22381,47416
Kabupaten BLITAR,75+,29166,34203,63369
Kabupaten KEDIRI,0-4,58795,57860,116655
Kabupaten KEDIRI,5-9,55589,54764,110353
Kabupaten KEDIRI,10-14,56483,49979,106462
Kabupaten KEDIRI,15-19,50463,49535,99998
Kabupaten KEDIRI,20-24,51074,52134,103208
Kabupaten KEDIRI,25-29,57854,50792,108646
Kabupaten KEDIRI,30-34,54586,59474,114060
Kabupaten KEDIRI,35-39,58350,48736,107086
Kabupaten KEDIRI,40-44,57068,62821,119889
Kabupaten KEDIRI,45-49,60959,55383,116342
Kabupaten KEDIRI,50-54,59620,58842,118462
Kabupaten KEDIRI,55-59,46464,51419,97883
Kabupaten KEDIRI,60-64,45353,49183,94536
Kabupaten KEDIRI,65-69,37482,34154,71636
Kabupaten KEDIRI,70-74,22024,30150,52174
