kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten PACITAN,0-4,18792,16191,34983
Kabupaten PACITAN,5-9,14619,15615,30234
Kabupaten PACITAN,10-14,17974,17907,35881
Kabupaten PACITAN,15-19,19079,17037,36116
Kabupaten PACITAN,20-24,16741,17276,34017
Kabupaten PACITAN,25-29,15743,16209,31952
Kabupaten PACITAN,30-34,18370,20631,39001
Kabupaten PACITAN,35-39,15625,15383,31008
Kabupaten PACITAN,40-44,20640,20484,41124
Kabupaten PACITAN,45-49,21831,23381,45212
Kabupaten PACITAN,50-54,19733,20583,40316
Kabupaten PACITAN,55-59,19218,21294,40512
Kabupaten PACITAN,60-64,17605,18031,35636
Kabupaten PACITAN,65-69,12910,15386,28296
Kabupaten PACITAN,70-74,11889,11386,23275
Kabupaten PACITAN,75+,10372,17575,27947
Kabupaten PONOROGO,0-4,23919,27160,51079
Kabupaten PONOROGO,5-9,28524,23240,51764
Kabupaten PONOROGO,10-14,29724,26037,55761
Kabupaten PONOROGO,15-19,32134,29331,61465
Kabupaten PONOROGO,20-24,26505,22152,48657
Kabupaten PONOROGO,25-29,27376,26787,54163
Kabupaten PONOROGO,30-34,30266,26956,57222
Kabupaten PONOROGO,35-39,28891,30612,59503
Kabupaten PONOROGO,40-44,33097,30571,63668
Kabupaten PONOROGO,45-49,33149,36022,69171
Kabupaten PONOROGO,50-54,31617,36006,67623
Kabupaten PONOROGO,55-59,31722,30888,62610
Kabupaten PONOROGO,60-64,27894,28791,56685
Kabupaten PONOROGO,65-69,20989,20796,41785
Kabupaten PONOROGO,70-74,16044,17157,33201
Kabupaten PONOROGO,75+,15262,24899,40161
Kabupaten TRENGGALEK,0-4,23411,23624,47035
Kabupaten TRENGGALEK,5-9,20365,19046,39411
Kabupaten TRENGGALEK,10-14,22788,21705,44493
Kabupaten TRENGGALEK,15-19,25279,24574,49853
Kabupaten TRENGGALEK,20-24,22677,23038,45715
Kabupaten TRENGGALEK,25-29,22123,22041,44164
Kabupaten TRENGGALEK,30-34,23718,26777,50495
Kabupaten TRENGGALEK,35-39,24111,21479,45590
Kabupaten TRENGGALEK,40-44,28048,25693,53741
Kabupaten TRENGGALEK,45-49,26485,28914,55399
Kabupaten TRENGGALEK,50-54,24937,25074,50011
Kabupaten TRENGGALEK,55-59,22902,24936,47838
Kabupaten TRENGGALEK,60-64,19023,19019,38042
Kabupaten TRENGGALEK,65-69,16562,16568,33130
Kabupaten TRENGGALEK,70-74,11263,10520,21783
Kabupaten TRENGGALEK,75+,12415,17470,29885
Kabupaten TULUNGAGUNG,0-4,36828,34316,71144
Kabupaten TULUNGAGUNG,5-9,36647,36616,73263
Kabupaten TULUNGAGUNG,10-14,33123,34425,67548
Kabupaten TULUNGAGUNG,15-19,37503,35841,73344
Kabupaten TULUNGAGUNG,20-24,31807,35856,67663
Kabupaten TULUNGAGUNG,25-29,34633,35972,70605
Kabupaten TULUNGAGUNG,30-34,36789,38115,74904
Kabupaten TULUNGAGUNG,35-39,35932,41196,77128
Kabupaten TULUNGAGUNG,40-44,36781,40247,77028
Kabupaten TULUNGAGUNG,45-49,40302,41020,81322
Kabupaten TULUNGAGUNG,50-54,31756,39146,70902
Kabupaten TULUNGAGUNG,55-59,34046,31599,65645
Kabupaten TULUNGAGUNG,60-64,29113,28199,57312
Kabupaten TULUNGAGUNG,65-69,19537,20659,40196
Kabupaten TULUNGAGUNG,70-74,14538,17147,31685
Kabupaten TULUNGAGUNG,75+,17384,22447,39831
Kabupaten BLITAR,0-4,41212,45358,86570
Kabupaten BLITAR,5-9,39751,33030,72781
Kabupaten BLITAR,10-14,41690,38063,79753
Kabupaten BLITAR,15-19,37295,38614,75909
Kabupaten BLITAR,20-24,34567,37442,72009
Kabupaten BLITAR,25-29,41090,34780,75870
Kabupaten BLITAR,30-34,43301,39239,82540
Kabupaten BLITAR,35-39,37849,40389,78238
Kabupaten BLITAR,40-44,42378,43920,86298
Kabupaten BLITAR,45-49,44647,42979,87626
Kabupaten BLITAR,50-54,45553,44340,89893
Kabupaten BLITAR,55-59,33410,37206,70616
Kabupaten BLITAR,60-64,33593,31923,65516
Kabupaten BLITAR,65-69,24053,25756,49809
Kabupaten BLITAR,70-74,20051,18444,38495
Kabupaten BLITAR,75+,21252,27992,49244
Kabupaten KEDIRI,0-4,61644,60329,121973
Kabupaten KEDIRI,5-9,54922,52871,107793
Kabupaten KEDIRI,10-14,60026,53865,113891
Kabupaten KEDIRI,15-19,52841,53169,106010
Kabupaten KEDIRI,20-24,53645,55078,108723
Kabupaten KEDIRI,25-29,61364,53242,114606
Kabupaten KEDIRI,30-34,57617,62210,119827
Kabupaten KEDIRI,35-39,60672,51232,111904
Kabupaten KEDIRI,40-44,58214,63810,122024
Kabupaten KEDIRI,45-49,60839,55450,116289
Kabupaten KEDIRI,50-54,55290,55098,110388
Kabupaten KEDIRI,55-59,42163,46287,88450
Kabupaten KEDIRI,60-64,39100,41006,80106
Kabupaten KEDIRI,65-69,30448,27408,57856
Kabupaten KEDIRI,70-74,17347,24358,41705
Kabupaten KEDIRI,75+,24205,29021,53226
Kabupaten MALANG,0-4,104308,98687,202995
Kabupaten MALANG,5-9,82694,83360,166054
Kabupaten MALANG,10-14,86603,85923,172526
Kabupaten MALANG,15-19,103048,97894,200942
Kabupaten MALANG,20-24,105876,93782,199658
Kabupaten MALANG,25-29,94748,91809,186557
Kabupaten MALANG,30-34,95321,93146,188467
Kabupaten MALANG,35-39,103371,95940,199311
Kabupaten MALANG,40-44,93289,92246,185535
Kabupaten MALANG,45-49,99813,99210,199023
Kabupaten MALANG,50-54,88105,89329,177434
Kabupaten MALANG,55-59,75536,75618,151154
Kabupaten MALANG,60-64,65611,62034,127645
Kabupaten MALANG,65-69,45161,54384,99545
Kabupaten MALANG,70-74,34894,39115,74009
Kabupaten MALANG,75+,32280,44779,77059
Kabupaten LUMAJANG,0-4,34731,36523,71254
Kabupaten LUMAJANG,5-9,36293,32469,68762
Kabupaten LUMAJANG,10-14,36299,33568,69867
Kabupaten LUMAJANG,15-19,37060,38618,75678
Kabupaten LUMAJANG,20-24,34665,36002,70667
Kabupaten LUMAJANG,25-29,35731,37942,73673
Kabupaten LUMAJANG,30-34,36746,39467,76213
Kabupaten LUMAJANG,35-39,37588,39042,76630
Kabupaten LUMAJANG,40-44,40535,42772,83307
Kabupaten LUMAJANG,45-49,36391,39809,76200
Kabupaten LUMAJANG,50-54,36354,36441,72795
Kabupaten LUMAJANG,55-59,33543,38455,71998
Kabupaten LUMAJANG,60-64,27026,31619,58645
Kabupaten LUMAJANG,65-69,22252,19288,41540
Kabupaten LUMAJANG,70-74,14477,15129,29606
Kabupaten LUMAJANG,75+,9298,16309,25607
Kabupaten JEMBER,0-4,87267,85800,173067
Kabupaten JEMBER,5-9,89682,86140,175822
Kabupaten JEMBER,10-14,87873,94315,182188
Kabupaten JEMBER,15-19,93151,89494,182645
Kabupaten JEMBER,20-24,91884,92608,184492
Kabupaten JEMBER,25-29,84015,88226,172241
Kabupaten JEMBER,30-34,88896,93199,182095
Kabupaten JEMBER,35-39,85529,88306,173835
Kabupaten JEMBER,40-44,91283,90550,181833
Kabupaten JEMBER,45-49,84722,88030,172752
Kabupaten JEMBER,50-54,84648,71447,156095
Kabupaten JEMBER,55-59,68002,87069,155071
Kabupaten JEMBER,60-64,64645,58244,122889
Kabupaten JEMBER,65-69,46923,58611,105534
Kabupaten JEMBER,70-74,29057,39123,68180
Kabupaten JEMBER,75+,27377,35655,63032
Kabupaten BANYUWANGI,0-4,56894,59893,116787
Kabupaten BANYUWANGI,5-9,55580,49607,105187
Kabupaten BANYUWANGI,10-14,60233,55933,116166
Kabupaten BANYUWANGI,15-19,54381,55512,109893
Kabupaten BANYUWANGI,20-24,54656,54700,109356
Kabupaten BANYUWANGI,25-29,49648,47560,97208
Kabupaten BANYUWANGI,30-34,55229,61023,116252
Kabupaten BANYUWANGI,35-39,65202,59703,124905
Kabupaten BANYUWANGI,40-44,61024,63426,124450
Kabupaten BANYUWANGI,45-49,61737,59990,121727
Kabupaten BANYUWANGI,50-54,52406,54072,106478
Kabupaten BANYUWANGI,55-59,50047,52964,103011
Kabupaten BANYUWANGI,60-64,41704,42600,84304
Kabupaten BANYUWANGI,65-69,41288,40556,81844
Kabupaten BANYUWANGI,70-74,24902,26892,51794
Kabupaten BANYUWANGI,75+,18217,26608,44825
