kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten PACITAN,0-4,18584,16070,34654
Kabupaten PACITAN,5-9,14546,15536,30082
Kabupaten PACITAN,10-14,17657,17525,35182
Kabupaten PACITAN,15-19,18851,16776,35627
Kabupaten PACITAN,20-24,16496,17021,33517
Kabupaten PACITAN,25-29,15505,15998,31503
Kabupaten PACITAN,30-34,18114,20351,38465
Kabupaten PACITAN,35-39,15467,15214,30681
Kabupaten PACITAN,40-44,20466,20328,40794
Kabupaten PACITAN,45-49,21814,23346,45160
Kabupaten PACITAN,50-54,19962,20785,40747
Kabupaten PACITAN,55-59,19467,21666,41133
Kabupaten PACITAN,60-64,18034,18530,36564
Kabupaten PACITAN,65-69,13310,15875,29185
Kabupaten PACITAN,70-74,12463,11709,24172
Kabupaten PACITAN,75+,10829,18124,28953
Kabupaten PONOROGO,0-4,23666,26955,50621
Kabupaten PONOROGO,5-9,28399,23131,51530
Kabupaten PONOROGO,10-14,29217,25483,54700
Kabupaten PONOROGO,15-19,31768,28891,60659
Kabupaten PONOROGO,20-24,26136,21825,47961
Kabupaten PONOROGO,25-29,26982,26443,53425
Kabupaten PONOROGO,30-34,29864,26599,56463
Kabupaten PONOROGO,35-39,28616,30281,58897
Kabupaten PONOROGO,40-44,32837,30347,63184
Kabupaten PONOROGO,45-49,33144,35981,69125
Kabupaten PONOROGO,50-54,32001,36372,68373
Kabupaten PONOROGO,55-59,32152,31443,63595
Kabupaten PONOROGO,60-64,28593,29592,58185
Kabupaten PONOROGO,65-69,21651,21466,43117
Kabupaten PONOROGO,70-74,16829,17665,34494
Kabupaten PONOROGO,75+,15943,25678,41621
Kabupaten TRENGGALEK,0-4,23194,23498,46692
Kabupaten TRENGGALEK,5-9,20303,18997,39300
Kabupaten TRENGGALEK,10-14,22428,21293,43721
Kabupaten TRENGGALEK,15-19,25024,24259,49283
Kabupaten TRENGGALEK,20-24,22391,22747,45138
Kabupaten TRENGGALEK,25-29,21834,21803,43637
Kabupaten TRENGGALEK,30-34,23433,26477,49910
Kabupaten TRENGGALEK,35-39,23912,21292,45204
Kabupaten TRENGGALEK,40-44,27866,25559,53425
Kabupaten TRENGGALEK,45-49,26515,28942,55457
Kabupaten TRENGGALEK,50-54,25274,25378,50652
Kabupaten TRENGGALEK,55-59,23245,25430,48675
Kabupaten TRENGGALEK,60-64,19524,19595,39119
Kabupaten TRENGGALEK,65-69,17106,17139,34245
Kabupaten TRENGGALEK,70-74,11830,10840,22670
Kabupaten TRENGGALEK,75+,12985,18045,31030
Kabupaten TULUNGAGUNG,0-4,36580,34228,70808
Kabupaten TULUNGAGUNG,5-9,36627,36617,73244
Kabupaten TULUNGAGUNG,10-14,32684,33864,66548
Kabupaten TULUNGAGUNG,15-19,37219,35475,72694
Kabupaten TULUNGAGUNG,20-24,31485,35497,66982
Kabupaten TULUNGAGUNG,25-29,34265,35678,69943
Kabupaten TULUNGAGUNG,30-34,36441,37786,74227
Kabupaten TULUNGAGUNG,35-39,35728,40943,76671
Kabupaten TULUNGAGUNG,40-44,36633,40139,76772
Kabupaten TULUNGAGUNG,45-49,40449,41167,81616
Kabupaten TULUNGAGUNG,50-54,32266,39732,71998
Kabupaten TULUNGAGUNG,55-59,34642,32324,66966
Kabupaten TULUNGAGUNG,60-64,29955,29127,59082
Kabupaten TULUNGAGUNG,65-69,20230,21427,41657
Kabupaten TULUNGAGUNG,70-74,15308,17752,33060
Kabupaten TULUNGAGUNG,75+,18224,23237,41461
Kabupaten BLITAR,0-4,40865,45154,86019
Kabupaten BLITAR,5-9,39661,32979,72640
Kabupaten BLITAR,10-14,41065,37376,78441
Kabupaten BLITAR,15-19,36951,38159,75110
Kabupaten BLITAR,20-24,34160,37005,71165
Kabupaten BLITAR,25-29,40586,34445,75031
Kabupaten BLITAR,30-34,42821,38837,81658
Kabupaten BLITAR,35-39,37571,40074,77645
Kabupaten BLITAR,40-44,42137,43731,85868
Kabupaten BLITAR,45-49,44735,43062,87797
Kabupaten BLITAR,50-54,46207,44922,91129
Kabupaten BLITAR,55-59,33939,37977,71916
Kabupaten BLITAR,60-64,34509,32919,67428
Kabupaten BLITAR,65-69,24866,26666,51532
Kabupaten BLITAR,70-74,21078,19021,40099
Kabupaten BLITAR,75+,22244,28927,51171
Kabupaten KEDIRI,0-4,61304,60211,121515
Kabupaten KEDIRI,5-9,54959,52908,107867
Kabupaten KEDIRI,10-14,59300,53011,112311
Kabupaten KEDIRI,15-19,52506,52662,105168
Kabupaten KEDIRI,20-24,53164,54567,107731
Kabupaten KEDIRI,25-29,60786,52850,113636
Kabupaten KEDIRI,30-34,57142,61715,118857
Kabupaten KEDIRI,35-39,60403,50944,111347
Kabupaten KEDIRI,40-44,58051,63679,121730
Kabupaten KEDIRI,45-49,61135,55685,116820
Kabupaten KEDIRI,50-54,56246,55953,112199
Kabupaten KEDIRI,55-59,42954,47362,90316
Kabupaten KEDIRI,60-64,40282,42376,82658
Kabupaten KEDIRI,65-69,31568,28445,60013
Kabupaten KEDIRI,70-74,18286,25271,43557
Kabupaten KEDIRI,75+,25410,30040,55450
Kabupaten MALANG,0-4,103923,98669,202592
Kabupaten MALANG,5-9,82901,83563,166464
Kabupaten MALANG,10-14,85715,84720,170435
Kabupaten MALANG,15-19,102584,97118,199702
Kabupaten MALANG,20-24,105121,93067,198188
Kabupaten MALANG,25-29,94031,91279,185310
Kabupaten MALANG,30-34,94708,92569,187277
Kabupaten MALANG,35-39,103100,95572,198672
Kabupaten MALANG,40-44,93200,92220,185420
Kabupaten MALANG,45-49,100487,99804,200291
Kabupaten MALANG,50-54,89795,90871,180666
Kabupaten MALANG,55-59,77095,77521,154616
Kabupaten MALANG,60-64,67720,64227,131947
Kabupaten MALANG,65-69,46910,56533,103443
Kabupaten MALANG,70-74,36853,40580,77433
Kabupaten MALANG,75+,33947,46483,80430
Kabupaten LUMAJANG,0-4,34473,36381,70854
Kabupaten LUMAJANG,5-9,36246,32437,68683
Kabupaten LUMAJANG,10-14,35791,32980,68771
Kabupaten LUMAJANG,15-19,36755,38184,74939
Kabupaten LUMAJANG,20-24,34289,35603,69892
Kabupaten LUMAJANG,25-29,35328,37586,72914
Kabupaten LUMAJANG,30-34,36373,39084,75457
Kabupaten LUMAJANG,35-39,37350,38758,76108
Kabupaten LUMAJANG,40-44,40344,42611,82955
Kabupaten LUMAJANG,45-49,36498,39911,76409
Kabupaten LUMAJANG,50-54,36913,36940,73853
Kabupaten LUMAJANG,55-59,34106,39274,73380
Kabupaten LUMAJANG,60-64,27790,32612,60402
Kabupaten LUMAJANG,65-69,23029,19981,43010
Kabupaten LUMAJANG,70-74,15232,15630,30862
Kabupaten LUMAJANG,75+,9742,16884,26626
Kabupaten JEMBER,0-4,86801,85652,172453
Kabupaten JEMBER,5-9,89760,86219,175979
Kabupaten JEMBER,10-14,86825,92872,179697
Kabupaten JEMBER,15-19,92578,88656,181234
Kabupaten JEMBER,20-24,91080,91767,182847
Kabupaten JEMBER,25-29,83240,87580,170820
Kabupaten JEMBER,30-34,88180,92480,180660
Kabupaten JEMBER,35-39,85164,87840,173004
Kabupaten JEMBER,40-44,91046,90388,181434
Kabupaten JEMBER,45-49,85151,88428,173579
Kabupaten JEMBER,50-54,86129,72560,158689
Kabupaten JEMBER,55-59,69290,89085,158375
Kabupaten JEMBER,60-64,66611,60221,126832
Kabupaten JEMBER,65-69,48658,60834,109492
Kabupaten JEMBER,70-74,30638,40584,71222
Kabupaten JEMBER,75+,28746,36940,65686
Kabupaten BANYUWANGI,0-4,56453,59647,116100
Kabupaten BANYUWANGI,5-9,55491,49544,105035
Kabupaten BANYUWANGI,10-14,59370,54939,114309
Kabupaten BANYUWANGI,15-19,53915,54874,108789
Kabupaten BANYUWANGI,20-24,54044,54085,108129
Kabupaten BANYUWANGI,25-29,49069,47112,96181
Kabupaten BANYUWANGI,30-34,54650,60417,115067
Kabupaten BANYUWANGI,35-39,64765,59254,124019
Kabupaten BANYUWANGI,40-44,60716,63173,123889
Kabupaten BANYUWANGI,45-49,61897,60126,122023
Kabupaten BANYUWANGI,50-54,53193,54802,107995
Kabupaten BANYUWANGI,55-59,50871,54088,104959
Kabupaten BANYUWANGI,60-64,42867,43938,86805
Kabupaten BANYUWANGI,65-69,42712,42005,84717
Kabupaten BANYUWANGI,70-74,26193,27786,53979
Kabupaten BANYUWANGI,75+,19080,27522,46602
Kabupaten BONDOWOSO,0-4,26663,25166,51829
Kabupaten BONDOWOSO,5-9,24084,24584,48668
Kabupaten BONDOWOSO,10-14,27391,24517,51908
Kabupaten BONDOWOSO,15-19,23074,24480,47554
Kabupaten BONDOWOSO,20-24,25771,28229,54000
Kabupaten BONDOWOSO,25-29,25556,26399,51955
Kabupaten BONDOWOSO,30-34,29459,27007,56466
Kabupaten BONDOWOSO,35-39,27069,31098,58167
Kabupaten BONDOWOSO,40-44,30164,29243,59407
Kabupaten BONDOWOSO,45-49,28132,29335,57467
Kabupaten BONDOWOSO,50-54,23171,26826,49997
Kabupaten BONDOWOSO,55-59,29136,28142,57278
Kabupaten BONDOWOSO,60-64,20552,25408,45960
Kabupaten BONDOWOSO,65-69,20044,20940,40984
Kabupaten BONDOWOSO,70-74,11226,13909,25135
Kabupaten BONDOWOSO,75+,8033,14663,22696
Kabupaten SITUBONDO,0-4,22085,20970,43055
Kabupaten SITUBONDO,5-9,21446,21236,42682
Kabupaten SITUBONDO,10-14,24954,24801,49755
Kabupaten SITUBONDO,15-19,20743,21963,42706
Kabupaten SITUBONDO,20-24,23904,24460,48364
Kabupaten SITUBONDO,25-29,25126,25642,50768
Kabupaten SITUBONDO,30-34,24854,23991,48845
Kabupaten SITUBONDO,35-39,25821,27838,53659
Kabupaten SITUBONDO,40-44,26355,26050,52405
Kabupaten SITUBONDO,45-49,25708,26511,52219
Kabupaten SITUBONDO,50-54,23588,25584,49172
Kabupaten SITUBONDO,55-59,22846,23984,46830
Kabupaten SITUBONDO,60-64,19333,20691,40024
Kabupaten SITUBONDO,65-69,13331,16163,29494
Kabupaten SITUBONDO,70-74,8403,9300,17703
Kabupaten SITUBONDO,75+,6176,12556,18732
Kabupaten PROBOLINGGO,0-4,43786,41183,84969
Kabupaten PROBOLINGGO,5-9,41294,41262,82556
Kabupaten PROBOLINGGO,10-14,46095,42498,88593
Kabupaten PROBOLINGGO,15-19,38586,43272,81858
Kabupaten PROBOLINGGO,20-24,39452,38214,77666
Kabupaten PROBOLINGGO,25-29,43935,50346,94281
Kabupaten PROBOLINGGO,30-34,43641,48121,91762
Kabupaten PROBOLINGGO,35-39,44987,44094,89081
Kabupaten PROBOLINGGO,40-44,48397,44397,92794
Kabupaten PROBOLINGGO,45-49,38577,42785,81362
Kabupaten PROBOLINGGO,50-54,38137,38574,76711
Kabupaten PROBOLINGGO,55-59,34701,38028,72729
Kabupaten PROBOLINGGO,60-64,29834,31810,61644
Kabupaten PROBOLINGGO,65-69,18575,22011,40586
Kabupaten PROBOLINGGO,70-74,13461,17692,31153
Kabupaten PROBOLINGGO,75+,10147,17964,28111
Kabupaten PASURUAN,0-4,61450,62646,124096
Kabupaten PASURUAN,5-9,57666,52660,110326
Kabupaten PASURUAN,10-14,60886,65444,126330
Kabupaten PASURUAN,15-19,68783,60725,129508
Kabupaten PASURUAN,20-24,65569,69806,135375
Kabupaten PASURUAN,25-29,69499,65440,134939
Kabupaten PASURUAN,30-34,61768,62500,124268
Kabupaten PASURUAN,35-39,68482,70965,139447
Kabupaten PASURUAN,40-44,66624,67483,134107
Kabupaten PASURUAN,45-49,57085,57042,114127
Kabupaten PASURUAN,50-54,54706,55506,110212
Kabupaten PASURUAN,55-59,41207,40394,81601
Kabupaten PASURUAN,60-64,30343,36071,66414
Kabupaten PASURUAN,65-69,23686,24149,47835
Kabupaten PASURUAN,70-74,10156,19880,30036
Kabupaten PASURUAN,75+,14173,16756,30929
Kabupaten SIDOARJO,0-4,88210,76093,164303
Kabupaten SIDOARJO,5-9,89357,93006,182363
Kabupaten SIDOARJO,10-14,82295,81254,163549
Kabupaten SIDOARJO,15-19,84121,81213,165334
Kabupaten SIDOARJO,20-24,105451,100914,206365
Kabupaten SIDOARJO,25-29,92092,92853,184945
Kabupaten SIDOARJO,30-34,103020,99977,202997
Kabupaten SIDOARJO,35-39,104499,108419,212918
Kabupaten SIDOARJO,40-44,95648,90268,185916
Kabupaten SIDOARJO,45-49,88650,86299,174949
Kabupaten SIDOARJO,50-54,63918,71968,135886
Kabupaten SIDOARJO,55-59,61052,50111,111163
Kabupaten SIDOARJO,60-64,41061,36843,77904
Kabupaten SIDOARJO,65-69,19330,28971,48301
Kabupaten SIDOARJO,70-74,17732,18378,36110
Kabupaten SIDOARJO,75+,12856,21719,34575
Kabupaten MOJOKERTO,0-4,41870,38970,80840
Kabupaten MOJOKERTO,5-9,39994,40026,80020
Kabupaten MOJOKERTO,10-14,39387,39326,78713
Kabupaten MOJOKERTO,15-19,43422,41779,85201
Kabupaten MOJOKERTO,20-24,41713,41219,82932
Kabupaten MOJOKERTO,25-29,46180,44700,90880
Kabupaten MOJOKERTO,30-34,43327,43333,86660
Kabupaten MOJOKERTO,35-39,45051,43961,89012
Kabupaten MOJOKERTO,40-44,46114,42283,88397
Kabupaten MOJOKERTO,45-49,42493,44699,87192
Kabupaten MOJOKERTO,50-54,36153,40128,76281
Kabupaten MOJOKERTO,55-59,31452,28969,60421
Kabupaten MOJOKERTO,60-64,25122,23013,48135
Kabupaten MOJOKERTO,65-69,19039,23622,42661
Kabupaten MOJOKERTO,70-74,11706,13487,25193
Kabupaten MOJOKERTO,75+,10361,14983,25344
Kabupaten JOMBANG,0-4,51451,44631,96082
Kabupaten JOMBANG,5-9,42940,45506,88446
Kabupaten JOMBANG,10-14,49803,45892,95695
Kabupaten JOMBANG,15-19,46981,48389,95370
Kabupaten JOMBANG,20-24,45928,40539,86467
Kabupaten JOMBANG,25-29,46699,50325,97024
Kabupaten JOMBANG,30-34,46638,46423,93061
Kabupaten JOMBANG,35-39,47302,45475,92777
Kabupaten JOMBANG,40-44,47623,49914,97537
Kabupaten JOMBANG,45-49,46531,45351,91882
Kabupaten JOMBANG,50-54,41807,46185,87992
Kabupaten JOMBANG,55-59,35099,33564,68663
Kabupaten JOMBANG,60-64,28321,32313,60634
Kabupaten JOMBANG,65-69,24040,23464,47504
Kabupaten JOMBANG,70-74,18332,19546,37878
Kabupaten JOMBANG,75+,11808,20437,32245
Kabupaten NGANJUK,0-4,34996,37771,72767
Kabupaten NGANJUK,5-9,37861,33430,71291
Kabupaten NGANJUK,10-14,40385,34514,74899
Kabupaten NGANJUK,15-19,33830,36973,70803
Kabupaten NGANJUK,20-24,34272,32532,66804
Kabupaten NGANJUK,25-29,37108,37908,75016
Kabupaten NGANJUK,30-34,41160,40755,81915
Kabupaten NGANJUK,35-39,36691,35295,71986
Kabupaten NGANJUK,40-44,41717,42085,83802
Kabupaten NGANJUK,45-49,37311,38362,75673
Kabupaten NGANJUK,50-54,34890,41571,76461
Kabupaten NGANJUK,55-59,32899,29299,62198
Kabupaten NGANJUK,60-64,25988,29083,55071
Kabupaten NGANJUK,65-69,26605,24477,51082
Kabupaten NGANJUK,70-74,16156,17984,34140
Kabupaten NGANJUK,75+,13769,19870,33639
Kabupaten MADIUN,0-4,24715,20635,45350
Kabupaten MADIUN,5-9,19502,21117,40619
Kabupaten MADIUN,10-14,23457,21740,45197
Kabupaten MADIUN,15-19,21033,20428,41461
Kabupaten MADIUN,20-24,18921,19083,38004
Kabupaten MADIUN,25-29,18979,18411,37390
Kabupaten MADIUN,30-34,23114,23046,46160
Kabupaten MADIUN,35-39,23544,23500,47044
Kabupaten MADIUN,40-44,24645,26123,50768
Kabupaten MADIUN,45-49,28051,29069,57120
