kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten PACITAN,0-4,18879,16170,35049
Kabupaten PACITAN,5-9,14828,15874,30702
Kabupaten PACITAN,10-14,18239,18247,36486
Kabupaten PACITAN,15-19,19325,17289,36614
Kabupaten PACITAN,20-24,16991,17513,34504
Kabupaten PACITAN,25-29,15983,16420,32403
Kabupaten PACITAN,30-34,18614,20942,39556
Kabupaten PACITAN,35-39,15768,15533,31301
Kabupaten PACITAN,40-44,20803,20642,41445
Kabupaten PACITAN,45-49,21767,23329,45096
Kabupaten PACITAN,50-54,19547,20380,39927
Kabupaten PACITAN,55-59,18930,20844,39774
Kabupaten PACITAN,60-64,17174,17539,34713
Kabupaten PACITAN,65-69,12516,14941,27457
Kabupaten PACITAN,70-74,11168,11101,22269
Kabupaten PACITAN,75+,10089,17030,27119
Kabupaten PONOROGO,0-4,24007,27145,51152
Kabupaten PONOROGO,5-9,28907,23631,52538
Kabupaten PONOROGO,10-14,30136,26537,56673
Kabupaten PONOROGO,15-19,32520,29762,62282
Kabupaten PONOROGO,20-24,26879,22449,49328
Kabupaten PONOROGO,25-29,27771,27129,54900
Kabupaten PONOROGO,30-34,30643,27365,58008
Kabupaten PONOROGO,35-39,29132,30899,60031
Kabupaten PONOROGO,40-44,33330,30803,64133
Kabupaten PONOROGO,45-49,33024,35935,68959
Kabupaten PONOROGO,50-54,31291,35644,66935
Kabupaten PONOROGO,55-59,31220,30217,61437
Kabupaten PONOROGO,60-64,27191,27997,55188
Kabupaten PONOROGO,65-69,20331,20197,40528
Kabupaten PONOROGO,70-74,15060,16688,31748
Kabupaten PONOROGO,75+,14832,24121,38953
Kabupaten TRENGGALEK,0-4,23468,23555,47023
Kabupaten TRENGGALEK,5-9,20612,19323,39935
Kabupaten TRENGGALEK,10-14,23075,22072,45147
Kabupaten TRENGGALEK,15-19,25551,24881,50432
Kabupaten TRENGGALEK,20-24,22969,23299,46268
Kabupaten TRENGGALEK,25-29,22415,22277,44692
Kabupaten TRENGGALEK,30-34,23983,27119,51102
Kabupaten TRENGGALEK,35-39,24282,21637,45919
Kabupaten TRENGGALEK,40-44,28212,25833,54045
Kabupaten TRENGGALEK,45-49,26350,28789,55139
Kabupaten TRENGGALEK,50-54,24650,24769,49419
Kabupaten TRENGGALEK,55-59,22510,24355,46865
Kabupaten TRENGGALEK,60-64,18519,18460,36979
Kabupaten TRENGGALEK,65-69,16022,16057,32079
Kabupaten TRENGGALEK,70-74,10559,10237,20796
Kabupaten TRENGGALEK,75+,12050,16890,28940
Kabupaten TULUNGAGUNG,0-4,36825,34110,70935
Kabupaten TULUNGAGUNG,5-9,36996,37042,74038
Kabupaten TULUNGAGUNG,10-14,33454,34903,68357
Kabupaten TULUNGAGUNG,15-19,37809,36188,73997
Kabupaten TULUNGAGUNG,20-24,32131,36168,68299
Kabupaten TULUNGAGUNG,25-29,34998,36260,71258
