kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten PACITAN,0-4,17774,15364,33138
Kabupaten PACITAN,5-9,14549,15732,30281
Kabupaten PACITAN,10-14,16685,16408,33093
Kabupaten PACITAN,15-19,18217,15945,34162
Kabupaten PACITAN,20-24,15822,16290,32112
Kabupaten PACITAN,25-29,14792,15362,30154
Kabupaten PACITAN,30-34,17357,19557,36914
Kabupaten PACITAN,35-39,14946,14570,29516
Kabupaten PACITAN,40-44,19948,19878,39826
Kabupaten PACITAN,45-49,21504,22910,44414
Kabupaten PACITAN,50-54,20530,21202,41732
Kabupaten PACITAN,55-59,20048,22386,42434
Kabupaten PACITAN,60-64,19183,20084,39267
Kabupaten PACITAN,65-69,14611,17477,32088
Kabupaten PACITAN,70-74,13698,12725,26423
Kabupaten PACITAN,75+,12695,19971,32666
Kabupaten PONOROGO,0-4,22666,25803,48469
Kabupaten PONOROGO,5-9,28440,23490,51930
Kabupaten PONOROGO,10-14,27642,23874,51516
Kabupaten PONOROGO,15-19,30741,27495,58236
Kabupaten PONOROGO,20-24,25101,20906,46007
Kabupaten PONOROGO,25-29,25775,25424,51199
Kabupaten PONOROGO,30-34,28654,25598,54252
Kabupaten PONOROGO,35-39,27691,29039,56730
Kabupaten PONOROGO,40-44,32051,29712,61763
Kabupaten PONOROGO,45-49,32716,35351,68067
Kabupaten PONOROGO,50-54,32952,37166,70118
Kabupaten PONOROGO,55-59,33156,32535,65691
Kabupaten PONOROGO,60-64,30457,32107,62564
Kabupaten PONOROGO,65-69,23799,23663,47462
Kabupaten PONOROGO,70-74,18520,19234,37754
Kabupaten PONOROGO,75+,18717,28310,47027
Kabupaten TRENGGALEK,0-4,22298,22641,44939
Kabupaten TRENGGALEK,5-9,20409,19403,39812
Kabupaten TRENGGALEK,10-14,21302,20089,41391
Kabupaten TRENGGALEK,15-19,24309,23253,47562
Kabupaten TRENGGALEK,20-24,21588,21937,43525
Kabupaten TRENGGALEK,25-29,20937,21100,42037
Kabupaten TRENGGALEK,30-34,22570,25635,48205
Kabupaten TRENGGALEK,35-39,23228,20539,43767
Kabupaten TRENGGALEK,40-44,27303,25191,52494
Kabupaten TRENGGALEK,45-49,26272,28621,54893
Kabupaten TRENGGALEK,50-54,26125,26089,52214
Kabupaten TRENGGALEK,55-59,24060,26480,50540
Kabupaten TRENGGALEK,60-64,20877,21404,42281
Kabupaten TRENGGALEK,65-69,18874,19020,37894
Kabupaten TRENGGALEK,70-74,13069,11872,24941
Kabupaten TRENGGALEK,75+,15305,19923,35228
Kabupaten TULUNGAGUNG,0-4,35429,33238,68667
Kabupaten TULUNGAGUNG,5-9,37094,37667,74761
Kabupaten TULUNGAGUNG,10-14,31272,32205,63477
Kabupaten TULUNGAGUNG,15-19,36422,34265,70687
