kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten PACITAN,0-4,18287,15812,34099
Kabupaten PACITAN,5-9,14552,15606,30158
Kabupaten PACITAN,10-14,17336,17140,34476
Kabupaten PACITAN,15-19,18639,16508,35147
Kabupaten PACITAN,20-24,16270,16772,33042
Kabupaten PACITAN,25-29,15254,15780,31034
Kabupaten PACITAN,30-34,17865,20086,37951
Kabupaten PACITAN,35-39,15302,15008,30310
Kabupaten PACITAN,40-44,20288,20203,40491
Kabupaten PACITAN,45-49,21747,23232,44979
Kabupaten PACITAN,50-54,20182,20950,41132
Kabupaten PACITAN,55-59,19675,21919,41594
Kabupaten PACITAN,60-64,18460,19087,37547
Kabupaten PACITAN,65-69,13732,16401,30133
Kabupaten PACITAN,70-74,12887,12039,24926
Kabupaten PACITAN,75+,11429,18716,30145
Kabupaten PONOROGO,0-4,23299,26532,49831
Kabupaten PONOROGO,5-9,28419,23260,51679
Kabupaten PONOROGO,10-14,28697,24924,53621
Kabupaten PONOROGO,15-19,31423,28443,59866
Kabupaten PONOROGO,20-24,25788,21514,47302
Kabupaten PONOROGO,25-29,26557,26090,52647
Kabupaten PONOROGO,30-34,29463,26265,55728
Kabupaten PONOROGO,35-39,28323,29885,58208
Kabupaten PONOROGO,40-44,32565,30174,62739
Kabupaten PONOROGO,45-49,33055,35817,68872
Kabupaten PONOROGO,50-54,32368,36681,69049
Kabupaten PONOROGO,55-59,32510,31821,64331
Kabupaten PONOROGO,60-64,29282,30491,59773
Kabupaten PONOROGO,65-69,22350,22184,44534
Kabupaten PONOROGO,70-74,17410,18175,35585
Kabupaten PONOROGO,75+,16836,26520,43356
Kabupaten TRENGGALEK,0-4,22865,23181,46046
Kabupaten TRENGGALEK,5-9,20345,19138,39483
Kabupaten TRENGGALEK,10-14,22058,20878,42936
Kabupaten TRENGGALEK,15-19,24786,23939,48725
Kabupaten TRENGGALEK,20-24,22122,22474,44596
Kabupaten TRENGGALEK,25-29,21518,21562,43080
Kabupaten TRENGGALEK,30-34,23150,26198,49348
Kabupaten TRENGGALEK,35-39,23700,21055,44755
Kabupaten TRENGGALEK,40-44,27671,25472,53143
Kabupaten TRENGGALEK,45-49,26478,28874,55352
Kabupaten TRENGGALEK,50-54,25599,25644,51243
Kabupaten TRENGGALEK,55-59,23534,25793,49327
Kabupaten TRENGGALEK,60-64,20021,20235,40256
Kabupaten TRENGGALEK,65-69,17681,17753,35434
Kabupaten TRENGGALEK,70-74,12254,11175,23429
Kabupaten TRENGGALEK,75+,13731,18642,32373
Kabupaten TULUNGAGUNG,0-4,36148,33857,70005
Kabupaten TULUNGAGUNG,5-9,36793,36978,73771
Kabupaten TULUNGAGUNG,10-14,32225,33290,65515
Kabupaten TULUNGAGUNG,15-19,36955,35097,72052
Kabupaten TULUNGAGUNG,20-24,31183,35160,66343
Kabupaten TULUNGAGUNG,25-29,33854,35366,69220
Kabupaten TULUNGAGUNG,30-34,36090,37487,73577
Kabupaten TULUNGAGUNG,35-39,35499,40602,76101
Kabupaten TULUNGAGUNG,40-44,36466,40093,76559
Kabupaten TULUNGAGUNG,45-49,40494,41173,81667
Kabupaten TULUNGAGUNG,50-54,32760,40261,73021
Kabupaten TULUNGAGUNG,55-59,35159,32874,68033
Kabupaten TULUNGAGUNG,60-64,30794,30161,60955
Kabupaten TULUNGAGUNG,65-69,20961,22249,43210
Kabupaten TULUNGAGUNG,70-74,15896,18354,34250
Kabupaten TULUNGAGUNG,75+,19322,24044,43366
Kabupaten BLITAR,0-4,40318,44586,84904
Kabupaten BLITAR,5-9,39777,33269,73046
Kabupaten BLITAR,10-14,40424,36676,77100
Kabupaten BLITAR,15-19,36627,37698,74325
Kabupaten BLITAR,20-24,33777,36596,70373
Kabupaten BLITAR,25-29,40033,34104,74137
Kabupaten BLITAR,30-34,42338,38473,80811
Kabupaten BLITAR,35-39,37270,39673,76943
Kabupaten BLITAR,40-44,41878,43613,85491
Kabupaten BLITAR,45-49,44714,42996,87710
Kabupaten BLITAR,50-54,46839,45435,92274
Kabupaten BLITAR,55-59,34389,38556,72945
Kabupaten BLITAR,60-64,35416,34037,69453
Kabupaten BLITAR,65-69,25724,27644,53368
Kabupaten BLITAR,70-74,21852,19626,41478
Kabupaten BLITAR,75+,23543,29895,53438
Kabupaten KEDIRI,0-4,60655,59596,120251
Kabupaten KEDIRI,5-9,55277,53474,108751
Kabupaten KEDIRI,10-14,58541,52136,110677
Kabupaten KEDIRI,15-19,52197,52144,104341
Kabupaten KEDIRI,20-24,52720,54088,106808
Kabupaten KEDIRI,25-29,60129,52444,112573
Kabupaten KEDIRI,30-34,56660,61271,117931
Kabupaten KEDIRI,35-39,60085,50542,110627
Kabupaten KEDIRI,40-44,57858,63654,121512
Kabupaten KEDIRI,45-49,61278,55731,117009
Kabupaten KEDIRI,50-54,57176,56730,113906
Kabupaten KEDIRI,55-59,43648,48197,91845
Kabupaten KEDIRI,60-64,41459,43901,85360
Kabupaten KEDIRI,65-69,32749,29565,62314
Kabupaten KEDIRI,70-74,19014,26157,45171
Kabupaten KEDIRI,75+,26969,31087,58056
Kabupaten MALANG,0-4,103033,97830,200863
Kabupaten MALANG,5-9,83550,84595,168145
Kabupaten MALANG,10-14,84787,83484,168271
Kabupaten MALANG,15-19,102185,96321,198506
Kabupaten MALANG,20-24,104454,92406,196860
Kabupaten MALANG,25-29,93203,90721,183924
Kabupaten MALANG,30-34,94099,92068,186167
Kabupaten MALANG,35-39,102768,94988,197756
Kabupaten MALANG,40-44,93078,92360,185438
Kabupaten MALANG,45-49,100925,100066,200991
Kabupaten MALANG,50-54,91465,92295,183760
Kabupaten MALANG,55-59,78499,79031,157530
Kabupaten MALANG,60-64,69840,66679,136519
Kabupaten MALANG,65-69,48761,58849,107610
Kabupaten MALANG,70-74,38395,42059,80454
Kabupaten MALANG,75+,36105,48261,84366
Kabupaten LUMAJANG,0-4,34051,35942,69993
Kabupaten LUMAJANG,5-9,36393,32729,69122
Kabupaten LUMAJANG,10-14,35271,32379,67650
Kabupaten LUMAJANG,15-19,36474,37744,74218
Kabupaten LUMAJANG,20-24,33944,35227,69171
Kabupaten LUMAJANG,25-29,34886,37218,72104
Kabupaten LUMAJANG,30-34,36004,38732,74736
Kabupaten LUMAJANG,35-39,37091,38390,75481
Kabupaten LUMAJANG,40-44,40141,42516,82657
Kabupaten LUMAJANG,45-49,36521,39874,76395
Kabupaten LUMAJANG,50-54,37458,37383,74841
Kabupaten LUMAJANG,55-59,34598,39893,74491
Kabupaten LUMAJANG,60-64,28552,33713,62265
Kabupaten LUMAJANG,65-69,23848,20730,44578
Kabupaten LUMAJANG,70-74,15810,16140,31950
Kabupaten LUMAJANG,75+,10327,17503,27830
Kabupaten JEMBER,0-4,85905,84790,170695
Kabupaten JEMBER,5-9,90301,87157,177458
Kabupaten JEMBER,10-14,85734,91383,177117
Kabupaten JEMBER,15-19,92056,87788,179844
Kabupaten JEMBER,20-24,90341,90977,181318
Kabupaten JEMBER,25-29,82361,86897,169258
Kabupaten JEMBER,30-34,87457,91831,179288
Kabupaten JEMBER,35-39,84738,87182,171920
Kabupaten JEMBER,40-44,90766,90380,181146
Kabupaten JEMBER,45-49,85372,88522,173894
Kabupaten JEMBER,50-54,87575,73559,161134
Kabupaten JEMBER,55-59,70429,90658,161087
Kabupaten JEMBER,60-64,68575,62432,131007
Kabupaten JEMBER,65-69,50489,63223,113712
Kabupaten JEMBER,70-74,31862,42014,73876
Kabupaten JEMBER,75+,30517,38271,68788
Kabupaten BANYUWANGI,0-4,55740,58917,114657
Kabupaten BANYUWANGI,5-9,55695,49983,105678
Kabupaten BANYUWANGI,10-14,58486,53929,112415
Kabupaten BANYUWANGI,15-19,53487,54224,107711
Kabupaten BANYUWANGI,20-24,53481,53501,106982
Kabupaten BANYUWANGI,25-29,48439,46646,95085
Kabupaten BANYUWANGI,30-34,54076,59859,113935
Kabupaten BANYUWANGI,35-39,64293,58670,122963
Kabupaten BANYUWANGI,40-44,60389,63023,123412
Kabupaten BANYUWANGI,45-49,61914,60055,121969
Kabupaten BANYUWANGI,50-54,53959,55453,109412
Kabupaten BANYUWANGI,55-59,51586,54931,106517
Kabupaten BANYUWANGI,60-64,44027,45433,89460
Kabupaten BANYUWANGI,65-69,44218,43566,87784
Kabupaten BANYUWANGI,70-74,27176,28687,55863
Kabupaten BANYUWANGI,75+,20208,28485,48693
Kabupaten BONDOWOSO,0-4,26377,24876,51253
Kabupaten BONDOWOSO,5-9,24219,24815,49034
Kabupaten BONDOWOSO,10-14,27033,24082,51115
Kabupaten BONDOWOSO,15-19,22934,24213,47147
Kabupaten BONDOWOSO,20-24,25552,27948,53500
Kabupaten BONDOWOSO,25-29,25276,26158,51434
Kabupaten BONDOWOSO,30-34,29206,26782,55988
Kabupaten BONDOWOSO,35-39,26923,30827,57750
Kabupaten BONDOWOSO,40-44,30059,29199,59258
Kabupaten BONDOWOSO,45-49,28194,29325,57519
Kabupaten BONDOWOSO,50-54,23549,27172,50721
Kabupaten BONDOWOSO,55-59,29602,28605,58207
Kabupaten BONDOWOSO,60-64,21147,26281,47428
Kabupaten BONDOWOSO,65-69,20791,21734,42525
Kabupaten BONDOWOSO,70-74,11670,14379,26049
Kabupaten BONDOWOSO,75+,8521,15227,23748
Kabupaten SITUBONDO,0-4,21869,20752,42621
Kabupaten SITUBONDO,5-9,21587,21460,43047
Kabupaten SITUBONDO,10-14,24653,24394,49047
Kabupaten SITUBONDO,15-19,20638,21746,42384
Kabupaten SITUBONDO,20-24,23724,24240,47964
Kabupaten SITUBONDO,25-29,24874,25436,50310
Kabupaten SITUBONDO,30-34,24664,23816,48480
Kabupaten SITUBONDO,35-39,25707,27621,53328
Kabupaten SITUBONDO,40-44,26287,26041,52328
Kabupaten SITUBONDO,45-49,25788,26532,52320
Kabupaten SITUBONDO,50-54,23999,25936,49935
Kabupaten SITUBONDO,55-59,23233,24405,47638
Kabupaten SITUBONDO,60-64,19914,21430,41344
Kabupaten SITUBONDO,65-69,13841,16792,30633
Kabupaten SITUBONDO,70-74,8744,9619,18363
Kabupaten SITUBONDO,75+,6558,13061,19619
Kabupaten PROBOLINGGO,0-4,43450,40851,84301
Kabupaten PROBOLINGGO,5-9,41656,41791,83447
Kabupaten PROBOLINGGO,10-14,45637,41889,87526
Kabupaten PROBOLINGGO,15-19,38473,42949,81422
Kabupaten PROBOLINGGO,20-24,39237,37961,77198
Kabupaten PROBOLINGGO,25-29,43589,50048,93637
Kabupaten PROBOLINGGO,30-34,43400,47878,91278
Kabupaten PROBOLINGGO,35-39,44884,43846,88730
Kabupaten PROBOLINGGO,40-44,48379,44483,92862
Kabupaten PROBOLINGGO,45-49,38782,42919,81701
Kabupaten PROBOLINGGO,50-54,38882,39194,78076
Kabupaten PROBOLINGGO,55-59,35367,38783,74150
Kabupaten PROBOLINGGO,60-64,30798,33024,63822
Kabupaten PROBOLINGGO,65-69,19328,22922,42250
Kabupaten PROBOLINGGO,70-74,14035,18354,32389
Kabupaten PROBOLINGGO,75+,10801,18708,29509
Kabupaten PASURUAN,0-4,61128,62326,123454
Kabupaten PASURUAN,5-9,58313,53506,111819
Kabupaten PASURUAN,10-14,60429,64720,125149
Kabupaten PASURUAN,15-19,68747,60421,129168
Kabupaten PASURUAN,20-24,65371,69553,134924
Kabupaten PASURUAN,25-29,69120,65263,134383
Kabupaten PASURUAN,30-34,61577,62374,123951
Kabupaten PASURUAN,35-39,68491,70785,139276
Kabupaten PASURUAN,40-44,66760,67814,134574
Kabupaten PASURUAN,45-49,57528,57386,114914
Kabupaten PASURUAN,50-54,55909,56571,112480
Kabupaten PASURUAN,55-59,42100,41320,83420
Kabupaten PASURUAN,60-64,31398,37550,68948
Kabupaten PASURUAN,65-69,24705,25226,49931
Kabupaten PASURUAN,70-74,10616,20697,31313
Kabupaten PASURUAN,75+,15121,17431,32552
Kabupaten SIDOARJO,0-4,88560,76384,164944
Kabupaten SIDOARJO,5-9,91193,95322,186515
Kabupaten SIDOARJO,10-14,82433,81064,163497
Kabupaten SIDOARJO,15-19,84854,81549,166403
Kabupaten SIDOARJO,20-24,106104,101450,207554
Kabupaten SIDOARJO,25-29,92435,93427,185862
Kabupaten SIDOARJO,30-34,103650,100674,204324
Kabupaten SIDOARJO,35-39,105478,109117,214595
Kabupaten SIDOARJO,40-44,96730,91534,188264
Kabupaten SIDOARJO,45-49,90163,87600,177763
Kabupaten SIDOARJO,50-54,65931,74015,139946
Kabupaten SIDOARJO,55-59,62951,51727,114678
Kabupaten SIDOARJO,60-64,42881,38733,81614
Kabupaten SIDOARJO,65-69,20347,30530,50877
Kabupaten SIDOARJO,70-74,18707,19282,37989
Kabupaten SIDOARJO,75+,13840,22884,36724
Kabupaten MOJOKERTO,0-4,41666,38780,80446
Kabupaten MOJOKERTO,5-9,40457,40670,81127
Kabupaten MOJOKERTO,10-14,39106,38895,78001
Kabupaten MOJOKERTO,15-19,43416,41586,85002
Kabupaten MOJOKERTO,20-24,41603,41077,82680
Kabupaten MOJOKERTO,25-29,45947,44585,90532
Kabupaten MOJOKERTO,30-34,43210,43257,86467
Kabupaten MOJOKERTO,35-39,45076,43853,88929
Kabupaten MOJOKERTO,40-44,46227,42504,88731
Kabupaten MOJOKERTO,45-49,42840,44980,87820
Kabupaten MOJOKERTO,50-54,36964,40908,77872
Kabupaten MOJOKERTO,55-59,32144,29642,61786
Kabupaten MOJOKERTO,60-64,26006,23981,49987
Kabupaten MOJOKERTO,65-69,19866,24676,44542
Kabupaten MOJOKERTO,70-74,12241,14032,26273
Kabupaten MOJOKERTO,75+,11058,15626,26684
Kabupaten JOMBANG,0-4,50968,44199,95167
Kabupaten JOMBANG,5-9,43240,46010,89250
Kabupaten JOMBANG,10-14,49223,45164,94387
Kabupaten JOMBANG,15-19,46761,47942,94703
Kabupaten JOMBANG,20-24,45600,40204,85804
Kabupaten JOMBANG,25-29,46252,49949,96201
Kabupaten JOMBANG,30-34,46299,46120,92419
Kabupaten JOMBANG,35-39,47110,45147,92257
Kabupaten JOMBANG,40-44,47520,49929,97449
Kabupaten JOMBANG,45-49,46696,45416,92112
Kabupaten JOMBANG,50-54,42550,46858,89408
Kabupaten JOMBANG,55-59,35709,34179,69888
Kabupaten JOMBANG,60-64,29184,33489,62673
Kabupaten JOMBANG,65-69,24969,24402,49371
Kabupaten JOMBANG,70-74,19083,20233,39316
Kabupaten JOMBANG,75+,12540,21252,33792
Kabupaten NGANJUK,0-4,34562,37309,71871
Kabupaten NGANJUK,5-9,38009,33727,71736
Kabupaten NGANJUK,10-14,39791,33876,73667
Kabupaten NGANJUK,15-19,33568,36542,70110
Kabupaten NGANJUK,20-24,33922,32182,66104
Kabupaten NGANJUK,25-29,36638,37533,74171
Kabupaten NGANJUK,30-34,40736,40384,81120
Kabupaten NGANJUK,35-39,36430,34953,71383
Kabupaten NGANJUK,40-44,41499,41990,83489
Kabupaten NGANJUK,45-49,37329,38320,75649
Kabupaten NGANJUK,50-54,35401,42072,77473
